"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","EU","gdp_per_capita_eur vs employment_rate_per1000","NUTS2(n=249)","corr=-0.344","NUTS3(n=1198)","corr=-0.378","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","gdp_per_capita_eur vs CNMIGRATRT","NUTS2(n=249)","corr=0.113","NUTS3(n=1198)","corr=0.074","magnitude_change","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","no","yes"
"","EU","gdp_per_capita_eur vs GBIRTHRT","NUTS2(n=249)","corr=0.108","NUTS3(n=1198)","corr=0.233","magnitude_change","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","no","yes"
"","EU","gdp_per_capita_eur vs GDEATHRT","NUTS2(n=249)","corr=-0.498","NUTS3(n=1198)","corr=-0.4","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","gdp_per_capita_eur vs GROWRT","NUTS2(n=249)","corr=0.204","NUTS3(n=1198)","corr=0.167","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","gdp_per_capita_eur vs NATGROWRT","NUTS2(n=249)","corr=0.364","NUTS3(n=1198)","corr=0.391","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","employment_rate_per1000 vs CNMIGRATRT","NUTS2(n=249)","corr=-0.047","NUTS3(n=1198)","corr=-0.126","magnitude_change","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","no","yes"
"","EU","employment_rate_per1000 vs GBIRTHRT","NUTS2(n=249)","corr=-0.271","NUTS3(n=1198)","corr=-0.219","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","employment_rate_per1000 vs GDEATHRT","NUTS2(n=249)","corr=0.334","NUTS3(n=1198)","corr=0.279","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","employment_rate_per1000 vs GROWRT","NUTS2(n=249)","corr=-0.14","NUTS3(n=1198)","corr=-0.193","magnitude_change","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","employment_rate_per1000 vs NATGROWRT","NUTS2(n=249)","corr=-0.356","NUTS3(n=1198)","corr=-0.298","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","CNMIGRATRT vs GBIRTHRT","NUTS2(n=249)","corr=-0.037","NUTS3(n=1198)","corr=-0.049","magnitude_change","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","no","no"
"","EU","CNMIGRATRT vs GDEATHRT","NUTS2(n=249)","corr=-0.172","NUTS3(n=1198)","corr=-0.165","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","CNMIGRATRT vs GROWRT","NUTS2(n=249)","corr=0.964","NUTS3(n=1198)","corr=0.969","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","CNMIGRATRT vs NATGROWRT","NUTS2(n=249)","corr=0.084","NUTS3(n=1198)","corr=0.097","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","no","yes"
"","EU","GBIRTHRT vs GDEATHRT","NUTS2(n=249)","corr=-0.463","NUTS3(n=1198)","corr=-0.452","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GBIRTHRT vs GROWRT","NUTS2(n=249)","corr=0.191","NUTS3(n=1198)","corr=0.143","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GBIRTHRT vs NATGROWRT","NUTS2(n=249)","corr=0.844","NUTS3(n=1198)","corr=0.766","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GDEATHRT vs GROWRT","NUTS2(n=249)","corr=-0.394","NUTS3(n=1198)","corr=-0.384","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GDEATHRT vs NATGROWRT","NUTS2(n=249)","corr=-0.866","NUTS3(n=1198)","corr=-0.92","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
"","EU","GROWRT vs NATGROWRT","NUTS2(n=249)","corr=0.347","NUTS3(n=1198)","corr=0.34","similar","Eurostat: employment(nama_10r_3empers)/GDP/population(nama_10r_3gdp)/demo(demo_r_gind3) merged, 2022, NUTS2 vs NUTS3","yes","yes"
