"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","France","elderly_rate vs young_rate","departement_agrege(n=100)","corr=-0.852","commune(n=34893)","corr=-0.646","similar","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","elderly_rate vs employed_rate","departement_agrege(n=100)","corr=-0.254","commune(n=34893)","corr=-0.611","magnitude_change","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","elderly_rate vs salaried_rate","departement_agrege(n=100)","corr=-0.44","commune(n=34893)","corr=-0.632","magnitude_change","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","elderly_rate vs vacant_housing_rate","departement_agrege(n=100)","corr=0.379","commune(n=34893)","corr=0.205","magnitude_change","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","elderly_rate vs secondary_housing_rate","departement_agrege(n=100)","corr=0.501","commune(n=34893)","corr=0.402","similar","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","elderly_rate vs house_share","departement_agrege(n=100)","corr=0.535","commune(n=34893)","corr=-0.052","reversed","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","elderly_rate vs median_living_standard","departement_agrege(n=100)","corr=0.057","commune(n=30838)","corr=-0.311","reversed","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","no","yes"
"","France","elderly_rate vs poverty_rate","departement_agrege(n=100)","corr=-0.421","commune(n=2527)","corr=-0.063","magnitude_change","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","yes","yes"
"","France","young_rate vs employed_rate","departement_agrege(n=100)","corr=-0.064","commune(n=34893)","corr=0.359","reversed","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","no","yes"
"","France","young_rate vs salaried_rate","departement_agrege(n=100)","corr=0.138","commune(n=34893)","corr=0.493","magnitude_change","Insee Base du dossier complet (commune level, 2022-2023). Department level = self-aggregated (population-weighted) from communes, NOT INSEE official department publication. Raw counts converted to per-1000-population rates.","no","yes"
