"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","Italy","age0_rate vs age14_rate","regione(n=21)","corr=0.793","comune(n=7896)","corr=0.181","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age0_rate vs age30_rate","regione(n=21)","corr=0.869","comune(n=7896)","corr=0.162","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age0_rate vs age50_rate","regione(n=21)","corr=-0.568","comune(n=7896)","corr=0.011","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","no"
"","Italy","age0_rate vs age65_rate","regione(n=21)","corr=-0.764","comune(n=7896)","corr=-0.175","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age0_rate vs age85_rate","regione(n=21)","corr=-0.705","comune(n=7896)","corr=-0.225","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age0_rate vs age100_plus_rate","regione(n=21)","corr=-0.522","comune(n=7896)","corr=-0.029","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age14_rate vs age30_rate","regione(n=21)","corr=0.655","comune(n=7896)","corr=0.042","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age14_rate vs age50_rate","regione(n=21)","corr=-0.173","comune(n=7896)","corr=0.156","reversed","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","no","yes"
"","Italy","age14_rate vs age65_rate","regione(n=21)","corr=-0.82","comune(n=7896)","corr=-0.17","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
"","Italy","age14_rate vs age85_rate","regione(n=21)","corr=-0.768","comune(n=7896)","corr=-0.234","magnitude_change","IstatData SDMX API resident population on 1 January, 2025. Coarse flow 22_289_DF_DCIS_POPRES1_2 = 21 NUTS2 region-level units (Bolzano/Trento as autonomous province region-level units; duplicate ITDA and ITZZ excluded). Fine flow 22_289_DF_DCIS_POPRES1_24 = all municipality(comune) rows. Raw exact-age counts converted to per-1000-population rates; 2026 estimated rows returned by API are ignored.","yes","yes"
