variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
population_total vs net_migration_per1000,voivodeship(n=16),corr=0.665,powiat(n=380),corr=0.236,magnitude_change,yes,yes
population_total vs live_births_per1000,voivodeship(n=16),corr=0.614,powiat(n=380),corr=0.24,magnitude_change,yes,yes
population_total vs deaths_per1000,voivodeship(n=16),corr=-0.219,powiat(n=380),corr=-0.174,similar,no,yes
population_total vs natural_increase_per1000,voivodeship(n=16),corr=0.419,powiat(n=380),corr=0.228,magnitude_change,no,yes
population_total vs divorces_per1000,voivodeship(n=16),corr=0.114,powiat(n=380),corr=0.14,similar,no,yes
population_total vs old_age_dependency_ratio,voivodeship(n=16),corr=-0.327,powiat(n=380),corr=-0.054,magnitude_change,no,no
population_total vs urbanization_rate_pct,voivodeship(n=16),corr=0.303,powiat(n=379),corr=0.264,similar,no,yes
population_total vs avg_wage_pct_of_national,voivodeship(n=16),corr=0.785,powiat(n=380),corr=0.397,magnitude_change,yes,yes
population_total vs unemployment_rate_dec_pct,voivodeship(n=16),corr=-0.648,powiat(n=380),corr=-0.303,magnitude_change,yes,yes
population_total vs infant_deaths_per1000_livebirths,voivodeship(n=16),corr=-0.082,powiat(n=303),corr=-0.147,magnitude_change,no,yes
net_migration_per1000 vs live_births_per1000,voivodeship(n=16),corr=0.778,powiat(n=380),corr=0.372,magnitude_change,yes,yes
net_migration_per1000 vs deaths_per1000,voivodeship(n=16),corr=-0.458,powiat(n=380),corr=-0.412,similar,no,yes
net_migration_per1000 vs natural_increase_per1000,voivodeship(n=16),corr=0.639,powiat(n=380),corr=0.448,similar,yes,yes
net_migration_per1000 vs divorces_per1000,voivodeship(n=16),corr=0.157,powiat(n=380),corr=0.044,magnitude_change,no,no
net_migration_per1000 vs old_age_dependency_ratio,voivodeship(n=16),corr=-0.549,powiat(n=380),corr=-0.516,similar,yes,yes
net_migration_per1000 vs urbanization_rate_pct,voivodeship(n=16),corr=0.358,powiat(n=379),corr=-0.211,reversed,no,yes
net_migration_per1000 vs avg_wage_pct_of_national,voivodeship(n=16),corr=0.818,powiat(n=380),corr=0.155,magnitude_change,yes,yes
net_migration_per1000 vs unemployment_rate_dec_pct,voivodeship(n=16),corr=-0.706,powiat(n=380),corr=-0.372,magnitude_change,yes,yes
net_migration_per1000 vs infant_deaths_per1000_livebirths,voivodeship(n=16),corr=-0.188,powiat(n=303),corr=-0.239,similar,no,yes
live_births_per1000 vs deaths_per1000,voivodeship(n=16),corr=-0.753,powiat(n=380),corr=-0.547,similar,yes,yes
live_births_per1000 vs natural_increase_per1000,voivodeship(n=16),corr=0.919,powiat(n=380),corr=0.833,similar,yes,yes
live_births_per1000 vs divorces_per1000,voivodeship(n=16),corr=-0.092,powiat(n=380),corr=-0.151,magnitude_change,no,yes
live_births_per1000 vs old_age_dependency_ratio,voivodeship(n=16),corr=-0.796,powiat(n=380),corr=-0.636,similar,yes,yes
live_births_per1000 vs urbanization_rate_pct,voivodeship(n=16),corr=-0.116,powiat(n=379),corr=-0.232,magnitude_change,no,yes
live_births_per1000 vs avg_wage_pct_of_national,voivodeship(n=16),corr=0.576,powiat(n=380),corr=0.036,magnitude_change,yes,no
live_births_per1000 vs unemployment_rate_dec_pct,voivodeship(n=16),corr=-0.491,powiat(n=380),corr=-0.324,magnitude_change,no,yes
live_births_per1000 vs infant_deaths_per1000_livebirths,voivodeship(n=16),corr=-0.089,powiat(n=303),corr=-0.248,magnitude_change,no,yes
deaths_per1000 vs natural_increase_per1000,voivodeship(n=16),corr=-0.951,powiat(n=380),corr=-0.919,similar,yes,yes
