"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","Sweden","young_0_17_rate vs working_18_64_rate","lan_county(n=21)","corr=0.47","kommun_municipality(n=290)","corr=0.489","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","young_0_17_rate vs elderly_65_plus_rate","lan_county(n=21)","corr=-0.717","kommun_municipality(n=290)","corr=-0.798","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","young_0_17_rate vs male_rate","lan_county(n=21)","corr=-0.25","kommun_municipality(n=290)","corr=-0.291","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","young_0_17_rate vs female_rate","lan_county(n=21)","corr=0.25","kommun_municipality(n=290)","corr=0.291","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","young_0_17_rate vs single_rate","lan_county(n=21)","corr=-0.261","kommun_municipality(n=290)","corr=0.129","reversed","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","young_0_17_rate vs married_rate","lan_county(n=21)","corr=0.498","kommun_municipality(n=290)","corr=0.298","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","young_0_17_rate vs widowed_rate","lan_county(n=21)","corr=-0.594","kommun_municipality(n=290)","corr=-0.73","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","young_0_17_rate vs divorced_rate","lan_county(n=21)","corr=-0.081","kommun_municipality(n=290)","corr=-0.48","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","young_0_17_rate vs growth_per1000","lan_county(n=21)","corr=0.414","kommun_municipality(n=290)","corr=0.388","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","working_18_64_rate vs elderly_65_plus_rate","lan_county(n=21)","corr=-0.952","kommun_municipality(n=290)","corr=-0.916","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","working_18_64_rate vs male_rate","lan_county(n=21)","corr=-0.179","kommun_municipality(n=290)","corr=-0.307","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","working_18_64_rate vs female_rate","lan_county(n=21)","corr=0.179","kommun_municipality(n=290)","corr=0.307","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","working_18_64_rate vs single_rate","lan_county(n=21)","corr=0.327","kommun_municipality(n=290)","corr=0.571","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","working_18_64_rate vs married_rate","lan_county(n=21)","corr=0.014","kommun_municipality(n=290)","corr=-0.242","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","working_18_64_rate vs widowed_rate","lan_county(n=21)","corr=-0.908","kommun_municipality(n=290)","corr=-0.866","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","working_18_64_rate vs divorced_rate","lan_county(n=21)","corr=-0.236","kommun_municipality(n=290)","corr=-0.189","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","working_18_64_rate vs growth_per1000","lan_county(n=21)","corr=0.79","kommun_municipality(n=290)","corr=0.521","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","elderly_65_plus_rate vs male_rate","lan_county(n=21)","corr=0.228","kommun_municipality(n=290)","corr=0.346","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","elderly_65_plus_rate vs female_rate","lan_county(n=21)","corr=-0.228","kommun_municipality(n=290)","corr=-0.346","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","elderly_65_plus_rate vs single_rate","lan_county(n=21)","corr=-0.168","kommun_municipality(n=290)","corr=-0.454","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","elderly_65_plus_rate vs married_rate","lan_county(n=21)","corr=-0.184","kommun_municipality(n=290)","corr=0.03","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","no"
"","Sweden","elderly_65_plus_rate vs widowed_rate","lan_county(n=21)","corr=0.923","kommun_municipality(n=290)","corr=0.934","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","elderly_65_plus_rate vs divorced_rate","lan_county(n=21)","corr=0.215","kommun_municipality(n=290)","corr=0.352","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","elderly_65_plus_rate vs growth_per1000","lan_county(n=21)","corr=-0.767","kommun_municipality(n=290)","corr=-0.539","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","male_rate vs female_rate","lan_county(n=21)","corr=-1","kommun_municipality(n=290)","corr=-1","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","male_rate vs single_rate","lan_county(n=21)","corr=0.056","kommun_municipality(n=290)","corr=0.027","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","no"
"","Sweden","male_rate vs married_rate","lan_county(n=21)","corr=0.023","kommun_municipality(n=290)","corr=-0.148","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","male_rate vs widowed_rate","lan_county(n=21)","corr=0.378","kommun_municipality(n=290)","corr=0.393","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","male_rate vs divorced_rate","lan_county(n=21)","corr=-0.455","kommun_municipality(n=290)","corr=-0.051","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","no"
"","Sweden","male_rate vs growth_per1000","lan_county(n=21)","corr=-0.271","kommun_municipality(n=290)","corr=-0.363","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","female_rate vs single_rate","lan_county(n=21)","corr=-0.056","kommun_municipality(n=290)","corr=-0.027","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","no"
"","Sweden","female_rate vs married_rate","lan_county(n=21)","corr=-0.023","kommun_municipality(n=290)","corr=0.148","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","female_rate vs widowed_rate","lan_county(n=21)","corr=-0.378","kommun_municipality(n=290)","corr=-0.393","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","female_rate vs divorced_rate","lan_county(n=21)","corr=0.455","kommun_municipality(n=290)","corr=0.051","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","no"
"","Sweden","female_rate vs growth_per1000","lan_county(n=21)","corr=0.271","kommun_municipality(n=290)","corr=0.363","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","single_rate vs married_rate","lan_county(n=21)","corr=-0.862","kommun_municipality(n=290)","corr=-0.843","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","single_rate vs widowed_rate","lan_county(n=21)","corr=-0.396","kommun_municipality(n=290)","corr=-0.468","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","single_rate vs divorced_rate","lan_county(n=21)","corr=-0.267","kommun_municipality(n=290)","corr=-0.197","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","single_rate vs growth_per1000","lan_county(n=21)","corr=0.376","kommun_municipality(n=290)","corr=0.207","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","married_rate vs widowed_rate","lan_county(n=21)","corr=0.075","kommun_municipality(n=290)","corr=0.043","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","no"
"","Sweden","married_rate vs divorced_rate","lan_county(n=21)","corr=-0.182","kommun_municipality(n=290)","corr=-0.27","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","married_rate vs growth_per1000","lan_county(n=21)","corr=0.015","kommun_municipality(n=290)","corr=0.073","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","no"
"","Sweden","widowed_rate vs divorced_rate","lan_county(n=21)","corr=0.141","kommun_municipality(n=290)","corr=0.296","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","no","yes"
"","Sweden","widowed_rate vs growth_per1000","lan_county(n=21)","corr=-0.801","kommun_municipality(n=290)","corr=-0.58","similar","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
"","Sweden","divorced_rate vs growth_per1000","lan_county(n=21)","corr=-0.435","kommun_municipality(n=290)","corr=-0.245","magnitude_change","Statistics Sweden SCB Statistikdatabasen PxWeb table BefolkningNy (Population by region, marital status, age and sex), 2024, no registration required. County(lan) and municipality(kommun) rows come from the same Region dimension. Raw demographic counts and population growth converted to per-1000-population rates.","yes","yes"
