"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 総人口（女） per1000pop(A110102_rate)","todofuken(n=47)","corr=-0.998","shikuchoson(n=1740)","corr=-1","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 日本人人口 per1000pop(A1102_rate)","todofuken(n=47)","corr=-0.644","shikuchoson(n=1740)","corr=-0.264","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 日本人人口（男） per1000pop(A110201_rate)","todofuken(n=47)","corr=0.822","shikuchoson(n=1740)","corr=0.875","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 日本人人口（女） per1000pop(A110202_rate)","todofuken(n=47)","corr=-0.956","shikuchoson(n=1740)","corr=-0.936","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 15歳未満人口 per1000pop(A1301_rate)","todofuken(n=47)","corr=0.077","shikuchoson(n=1740)","corr=0.066","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 15歳未満人口（男） per1000pop(A130101_rate)","todofuken(n=47)","corr=0.087","shikuchoson(n=1740)","corr=0.092","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 15歳未満人口（女） per1000pop(A130102_rate)","todofuken(n=47)","corr=0.075","shikuchoson(n=1740)","corr=0.038","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","no"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 15～64歳人口 per1000pop(A1302_rate)","todofuken(n=47)","corr=0.612","shikuchoson(n=1740)","corr=0.413","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 15～64歳人口（男） per1000pop(A130201_rate)","todofuken(n=47)","corr=0.807","shikuchoson(n=1740)","corr=0.768","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 15～64歳人口（女） per1000pop(A130202_rate)","todofuken(n=47)","corr=0.292","shikuchoson(n=1740)","corr=-0.09","reversed","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 65歳以上人口 per1000pop(A1303_rate)","todofuken(n=47)","corr=-0.576","shikuchoson(n=1740)","corr=-0.349","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 65歳以上人口（男） per1000pop(A130301_rate)","todofuken(n=47)","corr=-0.433","shikuchoson(n=1740)","corr=-0.227","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 65歳以上人口（女） per1000pop(A130302_rate)","todofuken(n=47)","corr=-0.654","shikuchoson(n=1740)","corr=-0.427","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 出生数 per1000pop(A4101_rate)","todofuken(n=47)","corr=0.085","shikuchoson(n=1740)","corr=0.448","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 死亡数 per1000pop(A4200_rate)","todofuken(n=47)","corr=-0.539","shikuchoson(n=1740)","corr=0.178","reversed","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 転入者数（日本人移動者） per1000pop(A5101_rate)","todofuken(n=47)","corr=0.252","shikuchoson(n=1740)","corr=0.561","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 転出者数（日本人移動者） per1000pop(A5102_rate)","todofuken(n=47)","corr=0.059","shikuchoson(n=1740)","corr=0.591","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 婚姻件数 per1000pop(A9101_rate)","todofuken(n=47)","corr=0.358","shikuchoson(n=1740)","corr=0.547","magnitude_change","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 離婚件数 per1000pop(A9201_rate)","todofuken(n=47)","corr=-0.167","shikuchoson(n=1740)","corr=0.406","reversed","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 幼稚園数 per1000pop(E1101_rate)","todofuken(n=47)","corr=-0.133","shikuchoson(n=1740)","corr=0.266","reversed","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 幼稚園在園者数 per1000pop(E1501_rate)","todofuken(n=47)","corr=0.19","shikuchoson(n=1740)","corr=0.136","similar","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","no","yes"
"","Japan","総人口（男） per1000pop(A110101_rate) vs 小学校数 per1000pop(E2101_rate)","todofuken(n=47)","corr=-0.445","shikuchoson(n=1740)","corr=0.171","reversed","SSDSE-B(2023)/SSDSE-A extraction, part of exhaustive pairwise scan","yes","yes"
