level,area_fips,area_name,year,period,unemployment_rate_pct
state,01,AL,2026,M05,3.0
state,02,AK,2026,M05,4.6
state,04,AZ,2026,M05,4.8
state,05,AR,2026,M05,4.2
state,06,CA,2026,M05,5.3
state,08,CO,2026,M05,3.9
state,09,CT,2026,M05,5.1
state,10,DE,2026,M05,5.1
state,11,DC,2026,M05,6.1
state,12,FL,2026,M05,4.8
state,13,GA,2026,M05,3.4
state,15,HI,2026,M05,2.5
state,16,ID,2026,M05,3.7
state,17,IL,2026,M05,5.1
state,18,IN,2026,M05,3.3
state,19,IA,2026,M05,3.2
state,20,KS,2026,M05,3.8
state,21,KY,2026,M05,4.5
state,22,LA,2026,M05,4.5
state,23,ME,2026,M05,3.1
state,24,MD,2026,M05,4.4
state,25,MA,2026,M05,4.5
state,26,MI,2026,M05,5.1
state,27,MN,2026,M05,4.4
state,28,MS,2026,M05,3.8
state,29,MO,2026,M05,3.8
state,30,MT,2026,M05,3.4
state,31,NE,2026,M05,3.0
state,32,NV,2026,M05,5.2
state,33,NH,2026,M05,3.0
state,34,NJ,2026,M05,4.7
state,35,NM,2026,M05,4.9
state,36,NY,2026,M05,4.6
state,37,NC,2026,M05,3.7
state,38,ND,2026,M05,2.4
state,39,OH,2026,M05,3.7
state,40,OK,2026,M05,4.1
state,41,OR,2026,M05,5.2
state,42,PA,2026,M05,4.2
state,44,RI,2026,M05,4.3
state,45,SC,2026,M05,4.6
state,46,SD,2026,M05,2.1
state,47,TN,2026,M05,3.6
state,48,TX,2026,M05,4.3
state,49,UT,2026,M05,3.7
state,50,VT,2026,M05,2.6
state,51,VA,2026,M05,3.8
state,53,WA,2026,M05,5.2
state,54,WV,2026,M05,4.3
state,55,WI,2026,M05,3.4
state,56,WY,2026,M05,3.4
county,01001,AL,2026,M05,3.1
county,01003,AL,2026,M05,3.0
county,04001,AZ,2026,M05,7.9
county,04003,AZ,2026,M05,5.8
county,05001,AR,2026,M05,4.3
county,05003,AR,2026,M05,5.1
county,06001,CA,2026,M05,3.8
county,06003,CA,2026,M05,9.8
county,08001,CO,2026,M05,3.9
county,08003,CO,2026,M05,4.3
county,10001,DE,2026,M05,4.6
county,10003,DE,2026,M05,4.1
county,12001,FL,2026,M05,5.3
county,12003,FL,2026,M05,4.8
county,13001,GA,2026,M05,3.4
county,13003,GA,2026,M05,3.5
county,15001,HI,2026,M05,3.0
county,15003,HI,2026,M05,2.4
county,16001,ID,2026,M05,3.2
county,16003,ID,2026,M05,6.3
county,17001,IL,2026,M05,3.3
county,17003,IL,2026,M05,6.1
county,18001,IN,2026,M05,3.0
county,18003,IN,2026,M05,3.0
county,19001,IA,2026,M05,1.9
county,19003,IA,2026,M05,2.3
county,20001,KS,2026,M05,4.4
county,20003,KS,2026,M05,4.0
county,21001,KY,2026,M05,4.6
county,21003,KY,2026,M05,4.5
county,22001,LA,2026,M05,4.3
county,22003,LA,2026,M05,4.8
county,23001,ME,2026,M05,3.2
county,23003,ME,2026,M05,5.0
county,24001,MD,2026,M05,4.9
county,24003,MD,2026,M05,3.3
county,25001,MA,2026,M05,4.4
county,25003,MA,2026,M05,4.1
county,26001,MI,2026,M05,8.1
county,26003,MI,2026,M05,8.0
county,27001,MN,2026,M05,5.7
county,27003,MN,2026,M05,4.1
county,28001,MS,2026,M05,4.8
county,28003,MS,2026,M05,3.0
county,29001,MO,2026,M05,4.4
county,29003,MO,2026,M05,3.1
county,30001,MT,2026,M05,2.3
county,30003,MT,2026,M05,5.7
county,31001,NE,2026,M05,2.6
county,31003,NE,2026,M05,2.3
county,32001,NV,2026,M05,4.5
county,32003,NV,2026,M05,5.3
county,33001,NH,2026,M05,2.4
county,33003,NH,2026,M05,2.3
county,34001,NJ,2026,M05,5.1
county,34003,NJ,2026,M05,3.5
county,35001,NM,2026,M05,4.3
county,35003,NM,2026,M05,6.3
county,36001,NY,2026,M05,3.6
county,36003,NY,2026,M05,4.7
county,37001,NC,2026,M05,3.6
county,37003,NC,2026,M05,3.4
county,38001,ND,2026,M05,1.6
county,38003,ND,2026,M05,2.2
county,39001,OH,2026,M05,3.4
county,39003,OH,2026,M05,3.0
county,40001,OK,2026,M05,5.2
county,40003,OK,2026,M05,3.6
county,41001,OR,2026,M05,4.9
county,41003,OR,2026,M05,4.1
county,42001,PA,2026,M05,3.4
county,42003,PA,2026,M05,3.7
county,44001,RI,2026,M05,2.8
county,44003,RI,2026,M05,2.9
county,45001,SC,2026,M05,4.1
county,45003,SC,2026,M05,3.7
county,46003,SD,2026,M05,1.6
county,47001,TN,2026,M05,2.9
county,47003,TN,2026,M05,3.0
county,48001,TX,2026,M05,4.3
county,48003,TX,2026,M05,3.4
county,49001,UT,2026,M05,3.1
county,49003,UT,2026,M05,3.4
county,50001,VT,2026,M05,2.1
county,50003,VT,2026,M05,2.8
county,51001,VA,2026,M05,4.2
county,51003,VA,2026,M05,3.5
county,53001,WA,2026,M05,4.4
county,53003,WA,2026,M05,3.1
county,54001,WV,2026,M05,4.2
county,54003,WV,2026,M05,3.2
county,55001,WI,2026,M05,4.0
county,55003,WI,2026,M05,2.8
county,56001,WY,2026,M05,2.3
county,56003,WY,2026,M05,3.4
