variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
pct_married vs pct_single,lan(n=21),corr=-0.862,kommun(n=290),corr=-0.843,similar,yes,yes
pct_married vs pct_widowed,lan(n=21),corr=0.075,kommun(n=290),corr=0.043,magnitude_change,no,no
pct_married vs pct_divorced,lan(n=21),corr=-0.182,kommun(n=290),corr=-0.27,magnitude_change,no,yes
pct_married vs women_per1000,lan(n=21),corr=-0.023,kommun(n=290),corr=0.148,magnitude_change,no,yes
pct_married vs mean_income_ksek,lan(n=21),corr=0.128,kommun(n=290),corr=0.339,magnitude_change,no,yes
pct_married vs median_income_ksek,lan(n=21),corr=0.13,kommun(n=290),corr=0.371,magnitude_change,no,yes
pct_married vs unemployment_rate,lan(n=21),corr=0.336,kommun(n=290),corr=-0.1,reversed,no,no
pct_married vs labour_force_participation_rate,lan(n=21),corr=-0.035,kommun(n=290),corr=0.158,magnitude_change,no,yes
pct_married vs employment_rate,lan(n=21),corr=-0.21,kommun(n=290),corr=0.15,reversed,no,yes
pct_married vs pct_tertiary_edu,lan(n=21),corr=0.017,kommun(n=290),corr=0.123,magnitude_change,no,yes
pct_married vs pct_basic_edu,lan(n=21),corr=0.43,kommun(n=290),corr=0.09,magnitude_change,no,no
pct_single vs pct_widowed,lan(n=21),corr=-0.396,kommun(n=290),corr=-0.468,similar,no,yes
pct_single vs pct_divorced,lan(n=21),corr=-0.267,kommun(n=290),corr=-0.197,similar,no,yes
pct_single vs women_per1000,lan(n=21),corr=-0.056,kommun(n=290),corr=-0.027,magnitude_change,no,no
pct_single vs mean_income_ksek,lan(n=21),corr=0.065,kommun(n=290),corr=-0.095,reversed,no,no
pct_single vs median_income_ksek,lan(n=21),corr=0.024,kommun(n=290),corr=-0.069,magnitude_change,no,no
pct_single vs unemployment_rate,lan(n=21),corr=-0.503,kommun(n=290),corr=-0.042,magnitude_change,yes,no
pct_single vs labour_force_participation_rate,lan(n=21),corr=-0.03,kommun(n=290),corr=0.015,magnitude_change,no,no
