variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_net_income_per_person vs avg_household_net_income,ccaa(n=19),corr=0.726,municipio(n=8059),corr=0.761,similar,yes,yes
avg_net_income_per_person vs avg_income_per_consumption_unit,ccaa(n=19),corr=0.977,municipio(n=6735),corr=0.966,similar,yes,yes
avg_net_income_per_person vs median_income_per_consumption_unit,ccaa(n=19),corr=0.956,municipio(n=6735),corr=0.913,similar,yes,yes
avg_net_income_per_person vs avg_gross_income_per_person,ccaa(n=19),corr=0.978,municipio(n=8059),corr=0.987,similar,yes,yes
avg_net_income_per_person vs avg_household_income,ccaa(n=19),corr=0.812,municipio(n=8059),corr=0.767,similar,yes,yes
avg_household_net_income vs avg_income_per_consumption_unit,ccaa(n=19),corr=0.852,municipio(n=6735),corr=0.934,similar,yes,yes
avg_household_net_income vs median_income_per_consumption_unit,ccaa(n=19),corr=0.585,municipio(n=6735),corr=0.894,magnitude_change,yes,yes
avg_household_net_income vs avg_gross_income_per_person,ccaa(n=19),corr=0.659,municipio(n=8059),corr=0.805,similar,yes,yes
avg_household_net_income vs avg_household_income,ccaa(n=19),corr=0.966,municipio(n=8059),corr=0.993,similar,yes,yes
avg_income_per_consumption_unit vs median_income_per_consumption_unit,ccaa(n=19),corr=0.905,municipio(n=6735),corr=0.951,similar,yes,yes
avg_income_per_consumption_unit vs avg_gross_income_per_person,ccaa(n=19),corr=0.948,municipio(n=6735),corr=0.977,similar,yes,yes
avg_income_per_consumption_unit vs avg_household_income,ccaa(n=19),corr=0.915,municipio(n=6735),corr=0.935,similar,yes,yes
median_income_per_consumption_unit vs avg_gross_income_per_person,ccaa(n=19),corr=0.966,municipio(n=6735),corr=0.913,similar,yes,yes
median_income_per_consumption_unit vs avg_household_income,ccaa(n=19),corr=0.708,municipio(n=6735),corr=0.885,similar,yes,yes
avg_gross_income_per_person vs avg_household_income,ccaa(n=19),corr=0.792,municipio(n=8059),corr=0.825,similar,yes,yes
