variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
avg_disposable_income vs avg_pretax_income,province(n=11),corr=0.998,kommune(n=98),corr=0.998,similar,yes,yes
avg_disposable_income vs avg_wage_income,province(n=11),corr=0.924,kommune(n=98),corr=0.869,similar,yes,yes
avg_disposable_income vs avg_entrepreneurial_income,province(n=11),corr=0.568,kommune(n=98),corr=0.696,similar,no,yes
avg_disposable_income vs avg_public_transfer_income,province(n=11),corr=-0.813,kommune(n=98),corr=-0.665,similar,yes,yes
avg_disposable_income vs avg_unemployment_benefits,province(n=11),corr=0.061,kommune(n=98),corr=-0.215,reversed,no,yes
avg_disposable_income vs avg_cash_benefits,province(n=11),corr=-0.368,kommune(n=98),corr=-0.46,similar,no,yes
avg_disposable_income vs avg_educational_grants,province(n=11),corr=0.099,kommune(n=98),corr=0.079,similar,no,no
avg_disposable_income vs avg_child_benefits,province(n=11),corr=0.658,kommune(n=98),corr=0.315,magnitude_change,yes,yes
avg_disposable_income vs avg_public_pension,province(n=11),corr=-0.654,kommune(n=98),corr=-0.504,similar,yes,yes
avg_disposable_income vs avg_disability_oldage_pension,province(n=11),corr=-0.646,kommune(n=98),corr=-0.499,similar,yes,yes
avg_disposable_income vs avg_private_pension,province(n=11),corr=0.432,kommune(n=98),corr=0.673,magnitude_change,no,yes
avg_disposable_income vs avg_capital_income,province(n=11),corr=0.928,kommune(n=98),corr=0.867,similar,yes,yes
avg_disposable_income vs avg_interest_received,province(n=11),corr=0.964,kommune(n=98),corr=0.956,similar,yes,yes
avg_disposable_income vs avg_income_tax,province(n=11),corr=0.996,kommune(n=98),corr=0.995,similar,yes,yes
avg_disposable_income vs avg_taxable_income,province(n=11),corr=0.992,kommune(n=98),corr=0.974,similar,yes,yes
avg_disposable_income vs entrepreneurial_income_recipients_per1000,province(n=11),corr=-0.528,kommune(n=98),corr=0.012,magnitude_change,no,no
