variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
sex_ratio_males_per_1000_females vs pct_female_per_1000,NUTS3(n=25),corr=-0.999,municipality(n=308),corr=-0.991,similar,yes,yes
sex_ratio_males_per_1000_females vs pop_growth_2015_2021_per_1000,NUTS3(n=25),corr=0.644,municipality(n=308),corr=0.515,similar,yes,yes
sex_ratio_males_per_1000_females vs age_0_4_per_1000,NUTS3(n=25),corr=0.254,municipality(n=308),corr=0.241,similar,no,yes
sex_ratio_males_per_1000_females vs age_5_9_per_1000,NUTS3(n=25),corr=0.203,municipality(n=308),corr=0.202,similar,no,yes
sex_ratio_males_per_1000_females vs age_10_14_per_1000,NUTS3(n=25),corr=0.099,municipality(n=308),corr=0.163,magnitude_change,no,yes
sex_ratio_males_per_1000_females vs age_15_19_per_1000,NUTS3(n=25),corr=-0.17,municipality(n=308),corr=0.003,magnitude_change,no,no
sex_ratio_males_per_1000_females vs age_20_24_per_1000,NUTS3(n=25),corr=0.011,municipality(n=308),corr=0.193,magnitude_change,no,yes
sex_ratio_males_per_1000_females vs age_25_29_per_1000,NUTS3(n=25),corr=0.593,municipality(n=308),corr=0.489,similar,yes,yes
sex_ratio_males_per_1000_females vs age_30_34_per_1000,NUTS3(n=25),corr=0.641,municipality(n=308),corr=0.543,similar,yes,yes
sex_ratio_males_per_1000_females vs age_35_39_per_1000,NUTS3(n=25),corr=0.58,municipality(n=308),corr=0.459,similar,yes,yes
sex_ratio_males_per_1000_females vs age_40_44_per_1000,NUTS3(n=25),corr=0.416,municipality(n=308),corr=0.36,similar,yes,yes
sex_ratio_males_per_1000_females vs age_45_49_per_1000,NUTS3(n=25),corr=0.026,municipality(n=308),corr=0.172,magnitude_change,no,yes
sex_ratio_males_per_1000_females vs age_50_54_per_1000,NUTS3(n=25),corr=-0.417,municipality(n=308),corr=0.008,magnitude_change,yes,no
sex_ratio_males_per_1000_females vs age_55_59_per_1000,NUTS3(n=25),corr=-0.513,municipality(n=308),corr=-0.188,magnitude_change,yes,yes
sex_ratio_males_per_1000_females vs age_60_64_per_1000,NUTS3(n=25),corr=-0.305,municipality(n=308),corr=-0.293,similar,no,yes
sex_ratio_males_per_1000_females vs age_65_69_per_1000,NUTS3(n=25),corr=-0.3,municipality(n=308),corr=-0.301,similar,no,yes
sex_ratio_males_per_1000_females vs age_70_74_per_1000,NUTS3(n=25),corr=-0.261,municipality(n=308),corr=-0.338,similar,no,yes
sex_ratio_males_per_1000_females vs age_75_79_per_1000,NUTS3(n=25),corr=-0.293,municipality(n=308),corr=-0.321,similar,no,yes
sex_ratio_males_per_1000_females vs age_80_84_per_1000,NUTS3(n=25),corr=-0.183,municipality(n=308),corr=-0.282,magnitude_change,no,yes
sex_ratio_males_per_1000_females vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.193,municipality(n=308),corr=-0.254,magnitude_change,no,yes
sex_ratio_males_per_1000_females vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.242,municipality(n=308),corr=-0.263,similar,no,yes
sex_ratio_males_per_1000_females vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.096,municipality(n=308),corr=0.106,similar,no,no
sex_ratio_males_per_1000_females vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.259,municipality(n=308),corr=-0.304,similar,no,yes
sex_ratio_males_per_1000_females vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.265,municipality(n=308),corr=-0.316,similar,no,yes
pct_female_per_1000 vs pop_growth_2015_2021_per_1000,NUTS3(n=25),corr=-0.651,municipality(n=308),corr=-0.511,similar,yes,yes
pct_female_per_1000 vs age_0_4_per_1000,NUTS3(n=25),corr=-0.278,municipality(n=308),corr=-0.28,similar,no,yes
pct_female_per_1000 vs age_5_9_per_1000,NUTS3(n=25),corr=-0.226,municipality(n=308),corr=-0.242,similar,no,yes
pct_female_per_1000 vs age_10_14_per_1000,NUTS3(n=25),corr=-0.119,municipality(n=308),corr=-0.198,magnitude_change,no,yes
pct_female_per_1000 vs age_15_19_per_1000,NUTS3(n=25),corr=0.153,municipality(n=308),corr=-0.031,magnitude_change,no,no
pct_female_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=-0.02,municipality(n=308),corr=-0.194,magnitude_change,no,yes
pct_female_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=-0.595,municipality(n=308),corr=-0.47,similar,yes,yes
pct_female_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=-0.645,municipality(n=308),corr=-0.536,similar,yes,yes
pct_female_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=-0.585,municipality(n=308),corr=-0.467,similar,yes,yes
pct_female_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=-0.424,municipality(n=308),corr=-0.38,similar,yes,yes
pct_female_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=-0.037,municipality(n=308),corr=-0.199,magnitude_change,no,yes
pct_female_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.402,municipality(n=308),corr=-0.039,magnitude_change,yes,no
pct_female_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=0.513,municipality(n=308),corr=0.177,magnitude_change,yes,yes
pct_female_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=0.319,municipality(n=308),corr=0.303,similar,no,yes
pct_female_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=0.311,municipality(n=308),corr=0.313,similar,no,yes
pct_female_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=0.273,municipality(n=308),corr=0.356,magnitude_change,no,yes
pct_female_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=0.305,municipality(n=308),corr=0.344,similar,no,yes
pct_female_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=0.196,municipality(n=308),corr=0.307,magnitude_change,no,yes
pct_female_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=0.205,municipality(n=308),corr=0.278,magnitude_change,no,yes
pct_female_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=0.257,municipality(n=308),corr=0.29,similar,no,yes
pct_female_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.123,municipality(n=308),corr=-0.15,similar,no,yes
pct_female_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=0.27,municipality(n=308),corr=0.326,similar,no,yes
pct_female_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=0.274,municipality(n=308),corr=0.332,similar,no,yes
pop_growth_2015_2021_per_1000 vs age_0_4_per_1000,NUTS3(n=25),corr=0.651,municipality(n=308),corr=0.627,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_5_9_per_1000,NUTS3(n=25),corr=0.631,municipality(n=308),corr=0.645,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_10_14_per_1000,NUTS3(n=25),corr=0.523,municipality(n=308),corr=0.572,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_15_19_per_1000,NUTS3(n=25),corr=0.213,municipality(n=308),corr=0.396,magnitude_change,no,yes
pop_growth_2015_2021_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=0.214,municipality(n=308),corr=0.41,magnitude_change,no,yes
pop_growth_2015_2021_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.742,municipality(n=308),corr=0.689,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.801,municipality(n=308),corr=0.731,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.815,municipality(n=308),corr=0.735,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.751,municipality(n=308),corr=0.695,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.564,municipality(n=308),corr=0.616,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=-0.022,municipality(n=308),corr=0.236,magnitude_change,no,yes
pop_growth_2015_2021_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=-0.596,municipality(n=308),corr=-0.381,magnitude_change,yes,yes
pop_growth_2015_2021_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.77,municipality(n=308),corr=-0.656,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.626,municipality(n=308),corr=-0.586,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.509,municipality(n=308),corr=-0.533,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.564,municipality(n=308),corr=-0.627,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.569,municipality(n=308),corr=-0.687,similar,yes,yes
pop_growth_2015_2021_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.592,municipality(n=308),corr=-0.676,similar,yes,yes
pop_growth_2015_2021_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.623,municipality(n=308),corr=-0.666,similar,yes,yes
pop_growth_2015_2021_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.504,municipality(n=308),corr=0.521,similar,yes,yes
pop_growth_2015_2021_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.603,municipality(n=308),corr=-0.669,similar,yes,yes
pop_growth_2015_2021_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.575,municipality(n=308),corr=-0.644,similar,yes,yes
age_0_4_per_1000 vs age_5_9_per_1000,NUTS3(n=25),corr=0.976,municipality(n=308),corr=0.892,similar,yes,yes
age_0_4_per_1000 vs age_10_14_per_1000,NUTS3(n=25),corr=0.927,municipality(n=308),corr=0.82,similar,yes,yes
age_0_4_per_1000 vs age_15_19_per_1000,NUTS3(n=25),corr=0.747,municipality(n=308),corr=0.682,similar,yes,yes
age_0_4_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=0.557,municipality(n=308),corr=0.572,similar,yes,yes
age_0_4_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.688,municipality(n=308),corr=0.638,similar,yes,yes
age_0_4_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.756,municipality(n=308),corr=0.703,similar,yes,yes
age_0_4_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.802,municipality(n=308),corr=0.737,similar,yes,yes
age_0_4_per_1000 vs age_40_44_per_1000,NUTS3(n=25),corr=0.847,municipality(n=308),corr=0.727,similar,yes,yes
age_0_4_per_1000 vs age_45_49_per_1000,NUTS3(n=25),corr=0.821,municipality(n=308),corr=0.683,similar,yes,yes
age_0_4_per_1000 vs age_50_54_per_1000,NUTS3(n=25),corr=0.468,municipality(n=308),corr=0.365,similar,yes,yes
age_0_4_per_1000 vs age_55_59_per_1000,NUTS3(n=25),corr=-0.228,municipality(n=308),corr=-0.342,magnitude_change,no,yes
age_0_4_per_1000 vs age_60_64_per_1000,NUTS3(n=25),corr=-0.881,municipality(n=308),corr=-0.754,similar,yes,yes
age_0_4_per_1000 vs age_65_69_per_1000,NUTS3(n=25),corr=-0.904,municipality(n=308),corr=-0.799,similar,yes,yes
age_0_4_per_1000 vs age_70_74_per_1000,NUTS3(n=25),corr=-0.864,municipality(n=308),corr=-0.762,similar,yes,yes
age_0_4_per_1000 vs age_75_79_per_1000,NUTS3(n=25),corr=-0.854,municipality(n=308),corr=-0.79,similar,yes,yes
age_0_4_per_1000 vs age_80_84_per_1000,NUTS3(n=25),corr=-0.849,municipality(n=308),corr=-0.771,similar,yes,yes
age_0_4_per_1000 vs age_85_plus_per_1000,NUTS3(n=25),corr=-0.82,municipality(n=308),corr=-0.756,similar,yes,yes
age_0_4_per_1000 vs aging_index_65plus_per_1000_of_0to14,NUTS3(n=25),corr=-0.933,municipality(n=308),corr=-0.868,similar,yes,yes
age_0_4_per_1000 vs youth_dependency_ratio_per_1000,NUTS3(n=25),corr=0.879,municipality(n=308),corr=0.884,similar,yes,yes
age_0_4_per_1000 vs old_age_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.868,municipality(n=308),corr=-0.801,similar,yes,yes
age_0_4_per_1000 vs total_dependency_ratio_per_1000,NUTS3(n=25),corr=-0.805,municipality(n=308),corr=-0.725,similar,yes,yes
age_5_9_per_1000 vs age_10_14_per_1000,NUTS3(n=25),corr=0.952,municipality(n=308),corr=0.899,similar,yes,yes
age_5_9_per_1000 vs age_15_19_per_1000,NUTS3(n=25),corr=0.762,municipality(n=308),corr=0.745,similar,yes,yes
age_5_9_per_1000 vs age_20_24_per_1000,NUTS3(n=25),corr=0.492,municipality(n=308),corr=0.549,similar,yes,yes
age_5_9_per_1000 vs age_25_29_per_1000,NUTS3(n=25),corr=0.619,municipality(n=308),corr=0.56,similar,yes,yes
age_5_9_per_1000 vs age_30_34_per_1000,NUTS3(n=25),corr=0.697,municipality(n=308),corr=0.646,similar,yes,yes
age_5_9_per_1000 vs age_35_39_per_1000,NUTS3(n=25),corr=0.763,municipality(n=308),corr=0.77,similar,yes,yes
