variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
0_14_per1000 vs 15_64_per1000,landshluti(n=8),corr=-0.39,sveitarfelag(n=62),corr=-0.302,similar,no,yes
0_14_per1000 vs 65plus_per1000,landshluti(n=8),corr=0.2,sveitarfelag(n=62),corr=-0.477,reversed,no,yes
0_14_per1000 vs 0_4_per1000,landshluti(n=8),corr=0.635,sveitarfelag(n=62),corr=0.896,magnitude_change,no,yes
0_14_per1000 vs 5_9_per1000,landshluti(n=8),corr=0.618,sveitarfelag(n=62),corr=0.922,magnitude_change,no,yes
0_14_per1000 vs 10_14_per1000,landshluti(n=8),corr=0.827,sveitarfelag(n=62),corr=0.836,similar,yes,yes
0_14_per1000 vs 15_19_per1000,landshluti(n=8),corr=0.267,sveitarfelag(n=62),corr=0.415,magnitude_change,no,yes
0_14_per1000 vs 20_29_per1000,landshluti(n=8),corr=-0.534,sveitarfelag(n=62),corr=-0.314,magnitude_change,no,yes
0_14_per1000 vs 30_44_per1000,landshluti(n=8),corr=-0.242,sveitarfelag(n=62),corr=0.204,reversed,no,no
0_14_per1000 vs 45_64_per1000,landshluti(n=8),corr=-0.38,sveitarfelag(n=62),corr=-0.481,similar,no,yes
0_14_per1000 vs 65_74_per1000,landshluti(n=8),corr=0.19,sveitarfelag(n=62),corr=-0.554,reversed,no,yes
0_14_per1000 vs 75_84_per1000,landshluti(n=8),corr=0.243,sveitarfelag(n=62),corr=-0.266,reversed,no,yes
0_14_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.054,sveitarfelag(n=62),corr=-0.133,reversed,no,no
0_14_per1000 vs male_per1000,landshluti(n=8),corr=-0.237,sveitarfelag(n=62),corr=-0.533,magnitude_change,no,yes
0_14_per1000 vs female_per1000,landshluti(n=8),corr=0.245,sveitarfelag(n=62),corr=0.529,magnitude_change,no,yes
0_14_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.244,sveitarfelag(n=62),corr=-0.569,magnitude_change,no,yes
0_14_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.793,sveitarfelag(n=62),corr=0.976,similar,yes,yes
0_14_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.254,sveitarfelag(n=62),corr=-0.375,reversed,no,yes
0_14_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.407,sveitarfelag(n=62),corr=0.206,magnitude_change,no,no
0_14_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.028,sveitarfelag(n=61),corr=-0.819,magnitude_change,no,yes
15_64_per1000 vs 65plus_per1000,landshluti(n=8),corr=-0.98,sveitarfelag(n=62),corr=-0.693,similar,yes,yes
15_64_per1000 vs 0_4_per1000,landshluti(n=8),corr=-0.053,sveitarfelag(n=62),corr=-0.15,magnitude_change,no,no
15_64_per1000 vs 5_9_per1000,landshluti(n=8),corr=-0.395,sveitarfelag(n=62),corr=-0.294,similar,no,yes
15_64_per1000 vs 10_14_per1000,landshluti(n=8),corr=-0.402,sveitarfelag(n=62),corr=-0.359,similar,no,yes
15_64_per1000 vs 15_19_per1000,landshluti(n=8),corr=0.258,sveitarfelag(n=62),corr=0.006,magnitude_change,no,no
15_64_per1000 vs 20_29_per1000,landshluti(n=8),corr=0.764,sveitarfelag(n=62),corr=0.827,similar,yes,yes
15_64_per1000 vs 30_44_per1000,landshluti(n=8),corr=0.96,sveitarfelag(n=62),corr=0.585,magnitude_change,yes,yes
15_64_per1000 vs 45_64_per1000,landshluti(n=8),corr=-0.092,sveitarfelag(n=62),corr=-0.065,similar,no,no
15_64_per1000 vs 65_74_per1000,landshluti(n=8),corr=-0.945,sveitarfelag(n=62),corr=-0.563,magnitude_change,yes,yes
15_64_per1000 vs 75_84_per1000,landshluti(n=8),corr=-0.931,sveitarfelag(n=62),corr=-0.732,similar,yes,yes
15_64_per1000 vs 85plus_per1000,landshluti(n=8),corr=-0.887,sveitarfelag(n=62),corr=-0.518,magnitude_change,yes,yes
15_64_per1000 vs male_per1000,landshluti(n=8),corr=0.626,sveitarfelag(n=62),corr=0.519,similar,no,yes
15_64_per1000 vs female_per1000,landshluti(n=8),corr=-0.627,sveitarfelag(n=62),corr=-0.52,similar,no,yes
15_64_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=0.635,sveitarfelag(n=62),corr=0.532,similar,no,yes
15_64_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=-0.869,sveitarfelag(n=62),corr=-0.464,magnitude_change,yes,yes
15_64_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=-0.989,sveitarfelag(n=62),corr=-0.766,similar,yes,yes
15_64_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=-0.999,sveitarfelag(n=62),corr=-0.99,similar,yes,yes
15_64_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=-0.909,sveitarfelag(n=61),corr=-0.155,magnitude_change,yes,no
65plus_per1000 vs 0_4_per1000,landshluti(n=8),corr=-0.08,sveitarfelag(n=62),corr=-0.539,magnitude_change,no,yes
65plus_per1000 vs 5_9_per1000,landshluti(n=8),corr=0.288,sveitarfelag(n=62),corr=-0.426,reversed,no,yes
65plus_per1000 vs 10_14_per1000,landshluti(n=8),corr=0.25,sveitarfelag(n=62),corr=-0.3,reversed,no,yes
65plus_per1000 vs 15_19_per1000,landshluti(n=8),corr=-0.333,sveitarfelag(n=62),corr=-0.32,similar,no,yes
65plus_per1000 vs 20_29_per1000,landshluti(n=8),corr=-0.698,sveitarfelag(n=62),corr=-0.526,similar,no,yes
65plus_per1000 vs 30_44_per1000,landshluti(n=8),corr=-0.97,sveitarfelag(n=62),corr=-0.693,similar,yes,yes
65plus_per1000 vs 45_64_per1000,landshluti(n=8),corr=0.18,sveitarfelag(n=62),corr=0.423,magnitude_change,no,yes
65plus_per1000 vs 65_74_per1000,landshluti(n=8),corr=0.965,sveitarfelag(n=62),corr=0.938,similar,yes,yes
65plus_per1000 vs 75_84_per1000,landshluti(n=8),corr=0.938,sveitarfelag(n=62),corr=0.876,similar,yes,yes
65plus_per1000 vs 85plus_per1000,landshluti(n=8),corr=0.933,sveitarfelag(n=62),corr=0.578,magnitude_change,yes,yes
65plus_per1000 vs male_per1000,landshluti(n=8),corr=-0.615,sveitarfelag(n=62),corr=-0.076,magnitude_change,no,no
65plus_per1000 vs female_per1000,landshluti(n=8),corr=0.614,sveitarfelag(n=62),corr=0.079,magnitude_change,no,no
65plus_per1000 vs sex_ratio_males_per1000_females,landshluti(n=8),corr=-0.624,sveitarfelag(n=62),corr=-0.06,magnitude_change,no,no
65plus_per1000 vs youth_dependency_ratio_per_1000,landshluti(n=8),corr=0.754,sveitarfelag(n=62),corr=-0.31,reversed,yes,yes
65plus_per1000 vs old_age_dependency_ratio_per_1000,landshluti(n=8),corr=0.997,sveitarfelag(n=62),corr=0.99,similar,yes,yes
65plus_per1000 vs total_dependency_ratio_per_1000,landshluti(n=8),corr=0.975,sveitarfelag(n=62),corr=0.757,similar,yes,yes
65plus_per1000 vs aging_index_65plus_per_1000_of_0to14,landshluti(n=8),corr=0.974,sveitarfelag(n=61),corr=0.68,magnitude_change,yes,yes
0_4_per1000 vs 5_9_per1000,landshluti(n=8),corr=-0.039,sveitarfelag(n=62),corr=0.811,magnitude_change,no,yes
0_4_per1000 vs 10_14_per1000,landshluti(n=8),corr=0.248,sveitarfelag(n=62),corr=0.566,magnitude_change,no,yes
