variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
0_14_per1000 vs 15_64_per1000,canton(n=26),corr=0.36,commune(n=2131),corr=0.119,magnitude_change,no,yes
0_14_per1000 vs 65plus_per1000,canton(n=26),corr=-0.693,commune(n=2131),corr=-0.674,similar,yes,yes
0_14_per1000 vs 0_4_per1000,canton(n=26),corr=0.893,commune(n=2131),corr=0.713,similar,yes,yes
0_14_per1000 vs 5_9_per1000,canton(n=26),corr=0.966,commune(n=2131),corr=0.852,similar,yes,yes
0_14_per1000 vs 10_14_per1000,canton(n=26),corr=0.883,commune(n=2131),corr=0.74,similar,yes,yes
0_14_per1000 vs 15_19_per1000,canton(n=26),corr=0.555,commune(n=2131),corr=0.249,magnitude_change,yes,yes
0_14_per1000 vs 20_29_per1000,canton(n=26),corr=0.422,commune(n=2131),corr=0.058,magnitude_change,yes,yes
0_14_per1000 vs 30_44_per1000,canton(n=26),corr=0.326,commune(n=2131),corr=0.465,magnitude_change,no,yes
0_14_per1000 vs 45_64_per1000,canton(n=26),corr=-0.472,commune(n=2131),corr=-0.472,similar,yes,yes
0_14_per1000 vs 65_74_per1000,canton(n=26),corr=-0.503,commune(n=2131),corr=-0.559,similar,yes,yes
0_14_per1000 vs 75_84_per1000,canton(n=26),corr=-0.747,commune(n=2131),corr=-0.578,similar,yes,yes
0_14_per1000 vs 85plus_per1000,canton(n=26),corr=-0.677,commune(n=2131),corr=-0.496,similar,yes,yes
0_14_per1000 vs male_per1000,canton(n=26),corr=0.102,commune(n=2131),corr=-0.106,reversed,no,yes
0_14_per1000 vs female_per1000,canton(n=26),corr=-0.102,commune(n=2131),corr=0.106,reversed,no,yes
0_14_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=0.099,commune(n=2131),corr=-0.14,reversed,no,yes
0_14_per1000 vs single_per1000,canton(n=26),corr=0.293,commune(n=2131),corr=0.483,magnitude_change,no,yes
0_14_per1000 vs married_per1000,canton(n=26),corr=-0.088,commune(n=2131),corr=-0.117,magnitude_change,no,yes
0_14_per1000 vs widowed_per1000,canton(n=26),corr=-0.573,commune(n=2131),corr=-0.555,similar,yes,yes
0_14_per1000 vs divorced_per1000,canton(n=26),corr=-0.149,commune(n=2131),corr=-0.313,magnitude_change,no,yes
0_14_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=0.905,commune(n=2131),corr=0.957,similar,yes,yes
0_14_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.635,commune(n=2131),corr=-0.585,similar,yes,yes
0_14_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=-0.355,commune(n=2131),corr=-0.136,magnitude_change,no,yes
0_14_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=-0.886,commune(n=2130),corr=-0.646,similar,yes,yes
15_64_per1000 vs 65plus_per1000,canton(n=26),corr=-0.922,commune(n=2131),corr=-0.814,similar,yes,yes
15_64_per1000 vs 0_4_per1000,canton(n=26),corr=0.49,commune(n=2131),corr=0.168,magnitude_change,yes,yes
15_64_per1000 vs 5_9_per1000,canton(n=26),corr=0.256,commune(n=2131),corr=0.042,magnitude_change,no,no
15_64_per1000 vs 10_14_per1000,canton(n=26),corr=0.235,commune(n=2131),corr=0.07,magnitude_change,no,yes
15_64_per1000 vs 15_19_per1000,canton(n=26),corr=0.244,commune(n=2131),corr=0.318,magnitude_change,no,yes
15_64_per1000 vs 20_29_per1000,canton(n=26),corr=0.588,commune(n=2131),corr=0.608,similar,yes,yes
15_64_per1000 vs 30_44_per1000,canton(n=26),corr=0.825,commune(n=2131),corr=0.486,magnitude_change,yes,yes
15_64_per1000 vs 45_64_per1000,canton(n=26),corr=-0.28,commune(n=2131),corr=0.105,reversed,no,yes
15_64_per1000 vs 65_74_per1000,canton(n=26),corr=-0.917,commune(n=2131),corr=-0.715,similar,yes,yes
15_64_per1000 vs 75_84_per1000,canton(n=26),corr=-0.837,commune(n=2131),corr=-0.706,similar,yes,yes
15_64_per1000 vs 85plus_per1000,canton(n=26),corr=-0.504,commune(n=2131),corr=-0.486,similar,yes,yes
15_64_per1000 vs male_per1000,canton(n=26),corr=-0.241,commune(n=2131),corr=0.145,reversed,no,yes
15_64_per1000 vs female_per1000,canton(n=26),corr=0.241,commune(n=2131),corr=-0.145,reversed,no,yes
15_64_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=-0.24,commune(n=2131),corr=0.138,reversed,no,yes
15_64_per1000 vs single_per1000,canton(n=26),corr=0.769,commune(n=2131),corr=0.558,similar,yes,yes
15_64_per1000 vs married_per1000,canton(n=26),corr=-0.573,commune(n=2131),corr=-0.327,magnitude_change,yes,yes
15_64_per1000 vs widowed_per1000,canton(n=26),corr=-0.854,commune(n=2131),corr=-0.527,magnitude_change,yes,yes
15_64_per1000 vs divorced_per1000,canton(n=26),corr=0.168,commune(n=2131),corr=-0.066,reversed,no,yes
15_64_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.07,commune(n=2131),corr=-0.163,magnitude_change,no,yes
15_64_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=-0.949,commune(n=2131),corr=-0.87,similar,yes,yes
15_64_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=-1.0,commune(n=2131),corr=-0.996,similar,yes,yes
15_64_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=-0.746,commune(n=2130),corr=-0.333,magnitude_change,yes,yes
65plus_per1000 vs 0_4_per1000,canton(n=26),corr=-0.749,commune(n=2131),corr=-0.542,similar,yes,yes
65plus_per1000 vs 5_9_per1000,canton(n=26),corr=-0.598,commune(n=2131),corr=-0.53,similar,yes,yes
65plus_per1000 vs 10_14_per1000,canton(n=26),corr=-0.547,commune(n=2131),corr=-0.485,similar,yes,yes
65plus_per1000 vs 15_19_per1000,canton(n=26),corr=-0.418,commune(n=2131),corr=-0.383,similar,yes,yes
65plus_per1000 vs 20_29_per1000,canton(n=26),corr=-0.629,commune(n=2131),corr=-0.487,similar,yes,yes
65plus_per1000 vs 30_44_per1000,canton(n=26),corr=-0.773,commune(n=2131),corr=-0.634,similar,yes,yes
65plus_per1000 vs 45_64_per1000,canton(n=26),corr=0.412,commune(n=2131),corr=0.198,magnitude_change,yes,yes
65plus_per1000 vs 65_74_per1000,canton(n=26),corr=0.917,commune(n=2131),corr=0.859,similar,yes,yes
65plus_per1000 vs 75_84_per1000,canton(n=26),corr=0.956,commune(n=2131),corr=0.864,similar,yes,yes
65plus_per1000 vs 85plus_per1000,canton(n=26),corr=0.67,commune(n=2131),corr=0.652,similar,yes,yes
65plus_per1000 vs male_per1000,canton(n=26),corr=0.144,commune(n=2131),corr=-0.046,magnitude_change,no,yes
65plus_per1000 vs female_per1000,canton(n=26),corr=-0.144,commune(n=2131),corr=0.046,magnitude_change,no,yes
65plus_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=0.145,commune(n=2131),corr=-0.021,magnitude_change,no,no
65plus_per1000 vs single_per1000,canton(n=26),corr=-0.716,commune(n=2131),corr=-0.698,similar,yes,yes
65plus_per1000 vs married_per1000,canton(n=26),corr=0.479,commune(n=2131),corr=0.312,magnitude_change,yes,yes
65plus_per1000 vs widowed_per1000,canton(n=26),corr=0.898,commune(n=2131),corr=0.717,similar,yes,yes
65plus_per1000 vs divorced_per1000,canton(n=26),corr=-0.068,commune(n=2131),corr=0.233,reversed,no,yes
65plus_per1000 vs youth_dependency_ratio_per_1000,canton(n=26),corr=-0.321,commune(n=2131),corr=-0.439,magnitude_change,no,yes
65plus_per1000 vs old_age_dependency_ratio_per_1000,canton(n=26),corr=0.997,commune(n=2131),corr=0.99,similar,yes,yes
65plus_per1000 vs total_dependency_ratio_per_1000,canton(n=26),corr=0.92,commune(n=2131),corr=0.821,similar,yes,yes
65plus_per1000 vs aging_index_65plus_per_1000_of_0to14,canton(n=26),corr=0.944,commune(n=2130),corr=0.622,magnitude_change,yes,yes
0_4_per1000 vs 5_9_per1000,canton(n=26),corr=0.815,commune(n=2131),corr=0.477,magnitude_change,yes,yes
0_4_per1000 vs 10_14_per1000,canton(n=26),corr=0.615,commune(n=2131),corr=0.2,magnitude_change,yes,yes
0_4_per1000 vs 15_19_per1000,canton(n=26),corr=0.325,commune(n=2131),corr=-0.007,magnitude_change,no,no
0_4_per1000 vs 20_29_per1000,canton(n=26),corr=0.428,commune(n=2131),corr=0.166,magnitude_change,yes,yes
0_4_per1000 vs 30_44_per1000,canton(n=26),corr=0.523,commune(n=2131),corr=0.545,similar,yes,yes
0_4_per1000 vs 45_64_per1000,canton(n=26),corr=-0.496,commune(n=2131),corr=-0.467,similar,yes,yes
0_4_per1000 vs 65_74_per1000,canton(n=26),corr=-0.51,commune(n=2131),corr=-0.418,similar,yes,yes
0_4_per1000 vs 75_84_per1000,canton(n=26),corr=-0.828,commune(n=2131),corr=-0.508,magnitude_change,yes,yes
0_4_per1000 vs 85plus_per1000,canton(n=26),corr=-0.787,commune(n=2131),corr=-0.394,magnitude_change,yes,yes
0_4_per1000 vs male_per1000,canton(n=26),corr=0.243,commune(n=2131),corr=0.004,magnitude_change,no,no
0_4_per1000 vs female_per1000,canton(n=26),corr=-0.243,commune(n=2131),corr=-0.004,magnitude_change,no,no
0_4_per1000 vs sex_ratio_males_per1000_females,canton(n=26),corr=0.241,commune(n=2131),corr=-0.03,magnitude_change,no,no
0_4_per1000 vs single_per1000,canton(n=26),corr=0.309,commune(n=2131),corr=0.409,magnitude_change,no,yes
0_4_per1000 vs married_per1000,canton(n=26),corr=-0.025,commune(n=2131),corr=-0.145,magnitude_change,no,yes
