id,variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
5659,total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,regione_nuts2(n=21),corr=0.939,provincia_nuts3(n=107),corr=0.966,similar,yes,yes
5660,total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,regione_nuts2(n=21),corr=-0.566,provincia_nuts3(n=107),corr=-0.632,similar,yes,yes
5661,total_dependency_ratio_per1000 vs median_age_years,regione_nuts2(n=21),corr=0.828,provincia_nuts3(n=107),corr=0.88,similar,yes,yes
5662,total_dependency_ratio_per1000 vs females_per1000_males,regione_nuts2(n=21),corr=0.301,provincia_nuts3(n=107),corr=0.295,similar,no,yes
5663,total_dependency_ratio_per1000 vs young_0_14_per1000,regione_nuts2(n=21),corr=-0.671,provincia_nuts3(n=107),corr=-0.753,similar,yes,yes
5664,total_dependency_ratio_per1000 vs elderly_65plus_per1000,regione_nuts2(n=21),corr=0.907,provincia_nuts3(n=107),corr=0.948,similar,yes,yes
5665,total_dependency_ratio_per1000 vs oldest_80plus_per1000,regione_nuts2(n=21),corr=0.922,provincia_nuts3(n=107),corr=0.883,similar,yes,yes
5666,old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,regione_nuts2(n=21),corr=-0.815,provincia_nuts3(n=107),corr=-0.81,similar,yes,yes
5667,old_age_dependency_ratio_per1000 vs median_age_years,regione_nuts2(n=21),corr=0.961,provincia_nuts3(n=107),corr=0.963,similar,yes,yes
5668,old_age_dependency_ratio_per1000 vs females_per1000_males,regione_nuts2(n=21),corr=0.312,provincia_nuts3(n=107),corr=0.301,similar,no,yes
5669,old_age_dependency_ratio_per1000 vs young_0_14_per1000,regione_nuts2(n=21),corr=-0.885,provincia_nuts3(n=107),corr=-0.897,similar,yes,yes
5670,old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,regione_nuts2(n=21),corr=0.996,provincia_nuts3(n=107),corr=0.998,similar,yes,yes
5671,old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,regione_nuts2(n=21),corr=0.91,provincia_nuts3(n=107),corr=0.905,similar,yes,yes
5672,youth_dependency_ratio_per1000 vs median_age_years,regione_nuts2(n=21),corr=-0.905,provincia_nuts3(n=107),corr=-0.894,similar,yes,yes
5673,youth_dependency_ratio_per1000 vs females_per1000_males,regione_nuts2(n=21),corr=-0.235,provincia_nuts3(n=107),corr=-0.233,similar,no,yes
5674,youth_dependency_ratio_per1000 vs young_0_14_per1000,regione_nuts2(n=21),corr=0.991,provincia_nuts3(n=107),corr=0.985,similar,yes,yes
5675,youth_dependency_ratio_per1000 vs elderly_65plus_per1000,regione_nuts2(n=21),corr=-0.86,provincia_nuts3(n=107),corr=-0.845,similar,yes,yes
5676,youth_dependency_ratio_per1000 vs oldest_80plus_per1000,regione_nuts2(n=21),corr=-0.625,provincia_nuts3(n=107),corr=-0.709,similar,yes,yes
5677,median_age_years vs females_per1000_males,regione_nuts2(n=21),corr=0.309,provincia_nuts3(n=107),corr=0.288,similar,no,yes
5678,median_age_years vs young_0_14_per1000,regione_nuts2(n=21),corr=-0.949,provincia_nuts3(n=107),corr=-0.95,similar,yes,yes
5679,median_age_years vs elderly_65plus_per1000,regione_nuts2(n=21),corr=0.974,provincia_nuts3(n=107),corr=0.974,similar,yes,yes
5680,median_age_years vs oldest_80plus_per1000,regione_nuts2(n=21),corr=0.877,provincia_nuts3(n=107),corr=0.903,similar,yes,yes
5681,females_per1000_males vs young_0_14_per1000,regione_nuts2(n=21),corr=-0.257,provincia_nuts3(n=107),corr=-0.256,similar,no,yes
5682,females_per1000_males vs elderly_65plus_per1000,regione_nuts2(n=21),corr=0.301,provincia_nuts3(n=107),corr=0.295,similar,no,yes
5683,females_per1000_males vs oldest_80plus_per1000,regione_nuts2(n=21),corr=0.297,provincia_nuts3(n=107),corr=0.313,similar,no,yes
5684,young_0_14_per1000 vs elderly_65plus_per1000,regione_nuts2(n=21),corr=-0.92,provincia_nuts3(n=107),corr=-0.923,similar,yes,yes
5685,young_0_14_per1000 vs oldest_80plus_per1000,regione_nuts2(n=21),corr=-0.714,provincia_nuts3(n=107),corr=-0.794,similar,yes,yes
5686,elderly_65plus_per1000 vs oldest_80plus_per1000,regione_nuts2(n=21),corr=0.889,provincia_nuts3(n=107),corr=0.901,similar,yes,yes
