"variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","coarse_sig","fine_sig"
"age0_rate vs age14_rate","regione(n=21)","corr=0.793","comune(n=7896)","corr=0.181","magnitude_change","yes","yes"
"age0_rate vs age30_rate","regione(n=21)","corr=0.869","comune(n=7896)","corr=0.162","magnitude_change","yes","yes"
"age0_rate vs age50_rate","regione(n=21)","corr=-0.568","comune(n=7896)","corr=0.011","magnitude_change","yes","no"
"age0_rate vs age65_rate","regione(n=21)","corr=-0.764","comune(n=7896)","corr=-0.175","magnitude_change","yes","yes"
"age0_rate vs age85_rate","regione(n=21)","corr=-0.705","comune(n=7896)","corr=-0.225","magnitude_change","yes","yes"
"age0_rate vs age100_plus_rate","regione(n=21)","corr=-0.522","comune(n=7896)","corr=-0.029","magnitude_change","yes","yes"
"age14_rate vs age30_rate","regione(n=21)","corr=0.655","comune(n=7896)","corr=0.042","magnitude_change","yes","yes"
"age14_rate vs age50_rate","regione(n=21)","corr=-0.173","comune(n=7896)","corr=0.156","reversed","no","yes"
"age14_rate vs age65_rate","regione(n=21)","corr=-0.82","comune(n=7896)","corr=-0.17","magnitude_change","yes","yes"
"age14_rate vs age85_rate","regione(n=21)","corr=-0.768","comune(n=7896)","corr=-0.234","magnitude_change","yes","yes"
"age14_rate vs age100_plus_rate","regione(n=21)","corr=-0.669","comune(n=7896)","corr=-0.12","magnitude_change","yes","yes"
"age30_rate vs age50_rate","regione(n=21)","corr=-0.526","comune(n=7896)","corr=-0.048","magnitude_change","yes","yes"
"age30_rate vs age65_rate","regione(n=21)","corr=-0.617","comune(n=7896)","corr=-0.12","magnitude_change","yes","yes"
"age30_rate vs age85_rate","regione(n=21)","corr=-0.708","comune(n=7896)","corr=-0.149","magnitude_change","yes","yes"
"age30_rate vs age100_plus_rate","regione(n=21)","corr=-0.398","comune(n=7896)","corr=-0.038","magnitude_change","no","yes"
"age50_rate vs age65_rate","regione(n=21)","corr=0.025","comune(n=7896)","corr=-0.116","magnitude_change","no","yes"
"age50_rate vs age85_rate","regione(n=21)","corr=0.278","comune(n=7896)","corr=-0.115","reversed","no","yes"
"age50_rate vs age100_plus_rate","regione(n=21)","corr=0.049","comune(n=7896)","corr=-0.082","magnitude_change","no","yes"
"age65_rate vs age85_rate","regione(n=21)","corr=0.474","comune(n=7896)","corr=0.146","magnitude_change","yes","yes"
"age65_rate vs age100_plus_rate","regione(n=21)","corr=0.552","comune(n=7896)","corr=0.062","magnitude_change","yes","yes"
"age85_rate vs age100_plus_rate","regione(n=21)","corr=0.735","comune(n=7896)","corr=0.149","magnitude_change","yes","yes"
