variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=9),corr=0.968,nuts3(n=35),corr=0.965,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=9),corr=-0.12,nuts3(n=35),corr=-0.336,magnitude_change,no,yes
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=9),corr=0.966,nuts3(n=35),corr=0.952,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=9),corr=0.184,nuts3(n=35),corr=0.088,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=9),corr=-0.529,nuts3(n=35),corr=-0.631,similar,no,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=9),corr=0.959,nuts3(n=35),corr=0.953,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=9),corr=0.906,nuts3(n=35),corr=0.846,similar,yes,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=9),corr=-0.365,nuts3(n=35),corr=-0.571,magnitude_change,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=9),corr=0.995,nuts3(n=35),corr=0.979,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=9),corr=0.372,nuts3(n=35),corr=0.243,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=9),corr=-0.724,nuts3(n=35),corr=-0.812,similar,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=9),corr=0.999,nuts3(n=35),corr=0.999,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=9),corr=0.945,nuts3(n=35),corr=0.908,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=9),corr=-0.35,nuts3(n=35),corr=-0.535,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=9),corr=-0.766,nuts3(n=35),corr=-0.594,similar,yes,yes
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=9),corr=0.906,nuts3(n=35),corr=0.942,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=9),corr=-0.395,nuts3(n=35),corr=-0.603,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=9),corr=-0.385,nuts3(n=35),corr=-0.616,magnitude_change,no,yes
median_age_years vs females_per1000_males,nuts2(n=9),corr=0.371,nuts3(n=35),corr=0.27,similar,no,no
median_age_years vs young_0_14_per1000,nuts2(n=9),corr=-0.71,nuts3(n=35),corr=-0.779,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=9),corr=0.993,nuts3(n=35),corr=0.979,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=9),corr=0.938,nuts3(n=35),corr=0.861,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=9),corr=-0.736,nuts3(n=35),corr=-0.524,similar,yes,yes
females_per1000_males vs elderly_65plus_per1000,nuts2(n=9),corr=0.389,nuts3(n=35),corr=0.27,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=9),corr=0.346,nuts3(n=35),corr=0.36,similar,no,yes
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=9),corr=-0.747,nuts3(n=35),corr=-0.835,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=9),corr=-0.722,nuts3(n=35),corr=-0.806,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=9),corr=0.955,nuts3(n=35),corr=0.912,similar,yes,yes
