variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=11),corr=0.987,nuts3(n=44),corr=0.982,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=11),corr=-0.375,nuts3(n=44),corr=-0.536,magnitude_change,no,yes
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=11),corr=0.962,nuts3(n=44),corr=0.933,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=11),corr=-0.101,nuts3(n=44),corr=0.015,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=11),corr=-0.815,nuts3(n=44),corr=-0.781,similar,yes,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=11),corr=0.984,nuts3(n=44),corr=0.971,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=11),corr=0.91,nuts3(n=44),corr=0.882,similar,yes,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=11),corr=-0.518,nuts3(n=44),corr=-0.687,magnitude_change,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=11),corr=0.989,nuts3(n=44),corr=0.974,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=11),corr=-0.137,nuts3(n=44),corr=0.003,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=11),corr=-0.897,nuts3(n=44),corr=-0.885,similar,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=11),corr=0.999,nuts3(n=44),corr=0.995,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=11),corr=0.916,nuts3(n=44),corr=0.889,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=11),corr=-0.587,nuts3(n=44),corr=-0.758,similar,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=11),corr=0.26,nuts3(n=44),corr=0.044,magnitude_change,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=11),corr=0.841,nuts3(n=44),corr=0.941,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=11),corr=-0.529,nuts3(n=44),corr=-0.707,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=11),corr=-0.441,nuts3(n=44),corr=-0.578,magnitude_change,no,yes
median_age_years vs females_per1000_males,nuts2(n=11),corr=-0.123,nuts3(n=44),corr=-0.011,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=11),corr=-0.926,nuts3(n=44),corr=-0.926,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=11),corr=0.991,nuts3(n=44),corr=0.982,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=11),corr=0.887,nuts3(n=44),corr=0.859,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=11),corr=0.226,nuts3(n=44),corr=0.05,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=11),corr=-0.135,nuts3(n=44),corr=-0.011,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=11),corr=-0.192,nuts3(n=44),corr=-0.163,similar,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=11),corr=-0.903,nuts3(n=44),corr=-0.903,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=11),corr=-0.799,nuts3(n=44),corr=-0.777,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=11),corr=0.902,nuts3(n=44),corr=0.896,similar,yes,yes
