variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=6),corr=0.961,nuts3(n=28),corr=0.902,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=6),corr=0.019,nuts3(n=28),corr=0.027,magnitude_change,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=6),corr=0.917,nuts3(n=28),corr=0.724,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=6),corr=0.145,nuts3(n=28),corr=0.066,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=6),corr=-0.43,nuts3(n=28),corr=-0.259,magnitude_change,no,no
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=6),corr=0.937,nuts3(n=28),corr=0.844,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=6),corr=0.858,nuts3(n=28),corr=0.782,similar,yes,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=6),corr=-0.257,nuts3(n=28),corr=-0.408,magnitude_change,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=6),corr=0.989,nuts3(n=28),corr=0.935,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=6),corr=0.262,nuts3(n=28),corr=0.176,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=6),corr=-0.663,nuts3(n=28),corr=-0.651,similar,no,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=6),corr=0.997,nuts3(n=28),corr=0.992,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=6),corr=0.952,nuts3(n=28),corr=0.867,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=6),corr=-0.374,nuts3(n=28),corr=-0.633,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=6),corr=-0.451,nuts3(n=28),corr=-0.27,magnitude_change,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=6),corr=0.893,nuts3(n=28),corr=0.958,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=6),corr=-0.329,nuts3(n=28),corr=-0.511,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=6),corr=-0.444,nuts3(n=28),corr=-0.352,similar,no,no
median_age_years vs females_per1000_males,nuts2(n=6),corr=0.34,nuts3(n=28),corr=0.111,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=6),corr=-0.749,nuts3(n=28),corr=-0.821,similar,no,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=6),corr=0.997,nuts3(n=28),corr=0.966,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=6),corr=0.95,nuts3(n=28),corr=0.723,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=6),corr=-0.449,nuts3(n=28),corr=-0.267,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=6),corr=0.299,nuts3(n=28),corr=0.187,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=6),corr=0.261,nuts3(n=28),corr=0.364,magnitude_change,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=6),corr=-0.717,nuts3(n=28),corr=-0.735,similar,no,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=6),corr=-0.779,nuts3(n=28),corr=-0.557,similar,no,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=6),corr=0.959,nuts3(n=28),corr=0.85,similar,yes,yes
