variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=8),corr=0.887,nuts3(n=14),corr=0.892,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=8),corr=0.21,nuts3(n=14),corr=0.282,magnitude_change,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=0.821,nuts3(n=14),corr=0.743,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.775,nuts3(n=14),corr=-0.547,similar,yes,yes
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=-0.119,nuts3(n=14),corr=-0.042,magnitude_change,no,no
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=0.835,nuts3(n=14),corr=0.833,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.44,nuts3(n=14),corr=0.574,magnitude_change,no,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=8),corr=-0.266,nuts3(n=14),corr=-0.182,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=0.953,nuts3(n=14),corr=0.926,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.579,nuts3(n=14),corr=-0.363,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=-0.563,nuts3(n=14),corr=-0.488,similar,no,no
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=0.994,nuts3(n=14),corr=0.993,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.636,nuts3(n=14),corr=0.679,similar,no,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=-0.305,nuts3(n=14),corr=-0.35,similar,no,no
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.399,nuts3(n=14),corr=-0.433,similar,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=0.945,nuts3(n=14),corr=0.946,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=-0.363,nuts3(n=14),corr=-0.294,similar,no,no
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.428,nuts3(n=14),corr=-0.191,magnitude_change,no,no
median_age_years vs females_per1000_males,nuts2(n=8),corr=-0.568,nuts3(n=14),corr=-0.266,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=8),corr=-0.575,nuts3(n=14),corr=-0.614,similar,no,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=8),corr=0.959,nuts3(n=14),corr=0.947,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=8),corr=0.447,nuts3(n=14),corr=0.46,similar,no,no
females_per1000_males vs young_0_14_per1000,nuts2(n=8),corr=-0.165,nuts3(n=14),corr=-0.249,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=8),corr=-0.522,nuts3(n=14),corr=-0.312,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=8),corr=0.07,nuts3(n=14),corr=-0.07,reversed,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=-0.644,nuts3(n=14),corr=-0.586,similar,no,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.605,nuts3(n=14),corr=-0.385,magnitude_change,no,no
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.646,nuts3(n=14),corr=0.667,similar,no,yes
