variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=38),corr=0.991,nuts3(n=400),corr=0.972,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=38),corr=-0.048,nuts3(n=400),corr=0.178,magnitude_change,no,yes
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=38),corr=0.952,nuts3(n=400),corr=0.947,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=38),corr=0.211,nuts3(n=400),corr=0.154,similar,no,yes
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=38),corr=-0.733,nuts3(n=400),corr=-0.35,magnitude_change,yes,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=38),corr=0.987,nuts3(n=400),corr=0.959,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=38),corr=0.899,nuts3(n=400),corr=0.813,similar,yes,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=38),corr=-0.178,nuts3(n=400),corr=-0.058,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=38),corr=0.964,nuts3(n=400),corr=0.947,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=38),corr=0.248,nuts3(n=400),corr=0.238,similar,no,yes
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=38),corr=-0.816,nuts3(n=400),corr=-0.559,magnitude_change,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=38),corr=0.998,nuts3(n=400),corr=0.997,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=38),corr=0.909,nuts3(n=400),corr=0.874,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=38),corr=-0.192,nuts3(n=400),corr=0.06,reversed,no,no
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=38),corr=-0.314,nuts3(n=400),corr=-0.343,similar,no,yes
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=38),corr=0.71,nuts3(n=400),corr=0.858,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=38),corr=-0.201,nuts3(n=400),corr=-0.104,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=38),corr=-0.187,nuts3(n=400),corr=-0.205,similar,no,yes
median_age_years vs females_per1000_males,nuts2(n=38),corr=0.204,nuts3(n=400),corr=0.133,magnitude_change,no,yes
median_age_years vs young_0_14_per1000,nuts2(n=38),corr=-0.809,nuts3(n=400),corr=-0.435,magnitude_change,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=38),corr=0.969,nuts3(n=400),corr=0.944,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=38),corr=0.809,nuts3(n=400),corr=0.747,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=38),corr=-0.355,nuts3(n=400),corr=-0.413,similar,yes,yes
females_per1000_males vs elderly_65plus_per1000,nuts2(n=38),corr=0.24,nuts3(n=400),corr=0.255,similar,no,yes
females_per1000_males vs oldest_80plus_per1000,nuts2(n=38),corr=0.403,nuts3(n=400),corr=0.442,similar,yes,yes
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=38),corr=-0.83,nuts3(n=400),corr=-0.598,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=38),corr=-0.752,nuts3(n=400),corr=-0.618,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=38),corr=0.901,nuts3(n=400),corr=0.878,similar,yes,yes
