variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=13),corr=0.954,nuts3(n=52),corr=0.964,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=13),corr=-0.2,nuts3(n=52),corr=-0.206,similar,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=13),corr=0.791,nuts3(n=52),corr=0.886,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=13),corr=-0.097,nuts3(n=52),corr=-0.133,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=13),corr=-0.503,nuts3(n=52),corr=-0.517,similar,no,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=13),corr=0.923,nuts3(n=52),corr=0.936,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=13),corr=0.851,nuts3(n=52),corr=0.902,similar,yes,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=13),corr=-0.485,nuts3(n=52),corr=-0.458,similar,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=13),corr=0.883,nuts3(n=52),corr=0.941,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=13),corr=-0.032,nuts3(n=52),corr=-0.118,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=13),corr=-0.74,nuts3(n=52),corr=-0.725,similar,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=13),corr=0.996,nuts3(n=52),corr=0.994,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=13),corr=0.938,nuts3(n=52),corr=0.956,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=13),corr=-0.587,nuts3(n=52),corr=-0.504,similar,yes,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=13),corr=-0.201,nuts3(n=52),corr=-0.01,magnitude_change,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=13),corr=0.947,nuts3(n=52),corr=0.942,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=13),corr=-0.56,nuts3(n=52),corr=-0.531,similar,yes,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=13),corr=-0.582,nuts3(n=52),corr=-0.506,similar,yes,yes
median_age_years vs females_per1000_males,nuts2(n=13),corr=0.336,nuts3(n=52),corr=0.114,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=13),corr=-0.776,nuts3(n=52),corr=-0.741,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=13),corr=0.898,nuts3(n=52),corr=0.946,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=13),corr=0.792,nuts3(n=52),corr=0.88,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=13),corr=-0.145,nuts3(n=52),corr=0.031,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=13),corr=-0.01,nuts3(n=52),corr=-0.113,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=13),corr=-0.114,nuts3(n=52),corr=-0.162,magnitude_change,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=13),corr=-0.796,nuts3(n=52),corr=-0.782,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=13),corr=-0.791,nuts3(n=52),corr=-0.746,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=13),corr=0.948,nuts3(n=52),corr=0.959,similar,yes,yes
