variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=4),corr=0.999,nuts3(n=21),corr=0.932,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=4),corr=-0.94,nuts3(n=21),corr=0.113,reversed,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=0.965,nuts3(n=21),corr=0.713,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=-0.502,nuts3(n=21),corr=-0.239,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=-0.988,nuts3(n=21),corr=-0.25,magnitude_change,yes,no
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=0.997,nuts3(n=21),corr=0.889,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.676,nuts3(n=21),corr=0.743,similar,no,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=4),corr=-0.952,nuts3(n=21),corr=-0.255,magnitude_change,yes,no
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=0.966,nuts3(n=21),corr=0.889,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=-0.53,nuts3(n=21),corr=-0.208,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=-0.992,nuts3(n=21),corr=-0.583,magnitude_change,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=0.999,nuts3(n=21),corr=0.994,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.666,nuts3(n=21),corr=0.837,similar,no,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=-0.928,nuts3(n=21),corr=-0.54,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=0.722,nuts3(n=21),corr=-0.069,reversed,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=0.972,nuts3(n=21),corr=0.933,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.961,nuts3(n=21),corr=-0.354,magnitude_change,yes,no
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.549,nuts3(n=21),corr=-0.311,magnitude_change,no,no
median_age_years vs females_per1000_males,nuts2(n=4),corr=-0.648,nuts3(n=21),corr=-0.204,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=4),corr=-0.983,nuts3(n=21),corr=-0.785,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=4),corr=0.972,nuts3(n=21),corr=0.922,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=4),corr=0.459,nuts3(n=21),corr=0.694,magnitude_change,no,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=4),corr=0.629,nuts3(n=21),corr=0.023,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=4),corr=-0.561,nuts3(n=21),corr=-0.198,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=4),corr=0.165,nuts3(n=21),corr=-0.236,reversed,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.996,nuts3(n=21),corr=-0.665,magnitude_change,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.578,nuts3(n=21),corr=-0.559,similar,no,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.643,nuts3(n=21),corr=0.834,similar,no,yes
