variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=8),corr=0.718,nuts3(n=20),corr=0.844,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=8),corr=0.361,nuts3(n=20),corr=0.024,magnitude_change,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=0.603,nuts3(n=20),corr=0.731,similar,no,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.445,nuts3(n=20),corr=-0.095,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=0.187,nuts3(n=20),corr=-0.193,reversed,no,no
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=0.59,nuts3(n=20),corr=0.775,magnitude_change,no,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.038,nuts3(n=20),corr=0.407,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=8),corr=-0.39,nuts3(n=20),corr=-0.517,magnitude_change,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=0.917,nuts3(n=20),corr=0.948,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=0.155,nuts3(n=20),corr=0.279,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=-0.549,nuts3(n=20),corr=-0.689,similar,no,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=0.986,nuts3(n=20),corr=0.993,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.61,nuts3(n=20),corr=0.765,similar,no,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=-0.429,nuts3(n=20),corr=-0.6,magnitude_change,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.788,nuts3(n=20),corr=-0.67,similar,yes,yes
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=0.983,nuts3(n=20),corr=0.976,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=-0.539,nuts3(n=20),corr=-0.614,similar,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.863,nuts3(n=20),corr=-0.774,similar,yes,yes
median_age_years vs females_per1000_males,nuts2(n=8),corr=0.041,nuts3(n=20),corr=0.204,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=8),corr=-0.567,nuts3(n=20),corr=-0.748,magnitude_change,no,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=8),corr=0.918,nuts3(n=20),corr=0.957,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=8),corr=0.515,nuts3(n=20),corr=0.712,magnitude_change,no,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=8),corr=-0.747,nuts3(n=20),corr=-0.639,similar,yes,yes
females_per1000_males vs elderly_65plus_per1000,nuts2(n=8),corr=0.283,nuts3(n=20),corr=0.346,similar,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=8),corr=0.831,nuts3(n=20),corr=0.657,similar,yes,yes
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=-0.683,nuts3(n=20),corr=-0.77,similar,no,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.904,nuts3(n=20),corr=-0.851,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.714,nuts3(n=20),corr=0.813,similar,yes,yes
