variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=8),corr=0.694,nuts3(n=42),corr=0.774,similar,no,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=8),corr=0.299,nuts3(n=42),corr=0.126,magnitude_change,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=0.345,nuts3(n=42),corr=0.423,similar,no,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.815,nuts3(n=42),corr=-0.159,magnitude_change,yes,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=0.122,nuts3(n=42),corr=-0.082,reversed,no,no
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=0.578,nuts3(n=42),corr=0.696,similar,no,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.585,nuts3(n=42),corr=0.663,similar,no,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=8),corr=-0.48,nuts3(n=42),corr=-0.53,similar,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=0.912,nuts3(n=42),corr=0.879,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.576,nuts3(n=42),corr=-0.019,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=-0.63,nuts3(n=42),corr=-0.694,similar,no,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=0.989,nuts3(n=42),corr=0.992,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.856,nuts3(n=42),corr=0.862,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=8),corr=-0.788,nuts3(n=42),corr=-0.81,similar,yes,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=8),corr=-0.225,nuts3(n=42),corr=-0.183,similar,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=8),corr=0.984,nuts3(n=42),corr=0.978,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=-0.606,nuts3(n=42),corr=-0.623,similar,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.424,nuts3(n=42),corr=-0.461,similar,no,yes
median_age_years vs females_per1000_males,nuts2(n=8),corr=-0.304,nuts3(n=42),corr=-0.013,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=8),corr=-0.884,nuts3(n=42),corr=-0.903,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=8),corr=0.962,nuts3(n=42),corr=0.917,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=8),corr=0.826,nuts3(n=42),corr=0.754,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=8),corr=-0.092,nuts3(n=42),corr=-0.147,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=8),corr=-0.489,nuts3(n=42),corr=0.003,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=8),corr=-0.584,nuts3(n=42),corr=-0.113,magnitude_change,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=8),corr=-0.739,nuts3(n=42),corr=-0.771,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=-0.546,nuts3(n=42),corr=-0.603,similar,no,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=8),corr=0.85,nuts3(n=42),corr=0.857,similar,yes,yes
