variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=4),corr=0.979,nuts3(n=25),corr=0.978,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=4),corr=-0.717,nuts3(n=25),corr=-0.687,similar,no,yes
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=0.962,nuts3(n=25),corr=0.914,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=-0.959,nuts3(n=25),corr=-0.039,magnitude_change,yes,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=-0.837,nuts3(n=25),corr=-0.823,similar,no,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=0.975,nuts3(n=25),corr=0.967,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.602,nuts3(n=25),corr=0.865,magnitude_change,no,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=4),corr=-0.843,nuts3(n=25),corr=-0.824,similar,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=0.996,nuts3(n=25),corr=0.965,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=-0.979,nuts3(n=25),corr=-0.054,magnitude_change,yes,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=-0.93,nuts3(n=25),corr=-0.923,similar,no,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=1.0,nuts3(n=25),corr=0.998,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.738,nuts3(n=25),corr=0.902,similar,no,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=-0.876,nuts3(n=25),corr=-0.873,similar,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=0.829,nuts3(n=25),corr=0.077,magnitude_change,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=0.982,nuts3(n=25),corr=0.977,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.855,nuts3(n=25),corr=-0.847,similar,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.938,nuts3(n=25),corr=-0.789,similar,no,yes
median_age_years vs females_per1000_males,nuts2(n=4),corr=-0.988,nuts3(n=25),corr=-0.146,magnitude_change,yes,no
median_age_years vs young_0_14_per1000,nuts2(n=4),corr=-0.952,nuts3(n=25),corr=-0.949,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=4),corr=0.997,nuts3(n=25),corr=0.973,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=4),corr=0.754,nuts3(n=25),corr=0.853,similar,no,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=4),corr=0.915,nuts3(n=25),corr=0.077,magnitude_change,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=4),corr=-0.98,nuts3(n=25),corr=-0.055,magnitude_change,yes,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=4),corr=-0.658,nuts3(n=25),corr=0.0,magnitude_change,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.938,nuts3(n=25),corr=-0.94,similar,no,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.897,nuts3(n=25),corr=-0.858,similar,no,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.749,nuts3(n=25),corr=0.898,similar,no,yes
