variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=4),corr=-0.166,nuts3(n=8),corr=0.1,reversed,no,no
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=4),corr=0.61,nuts3(n=8),corr=0.378,magnitude_change,no,no
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=-0.28,nuts3(n=8),corr=-0.116,magnitude_change,no,no
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=0.79,nuts3(n=8),corr=0.462,magnitude_change,no,no
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=0.569,nuts3(n=8),corr=0.319,magnitude_change,no,no
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.273,nuts3(n=8),corr=0.001,magnitude_change,no,no
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.046,nuts3(n=8),corr=0.198,magnitude_change,no,no
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=4),corr=-0.883,nuts3(n=8),corr=-0.883,similar,no,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=0.992,nuts3(n=8),corr=0.967,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=0.325,nuts3(n=8),corr=0.387,similar,no,no
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=-0.905,nuts3(n=8),corr=-0.911,similar,no,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=0.994,nuts3(n=8),corr=0.995,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.991,nuts3(n=8),corr=0.986,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=4),corr=-0.931,nuts3(n=8),corr=-0.956,similar,no,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=4),corr=0.116,nuts3(n=8),corr=-0.149,reversed,no,no
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=4),corr=0.999,nuts3(n=8),corr=0.998,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.929,nuts3(n=8),corr=-0.925,similar,no,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.819,nuts3(n=8),corr=-0.823,similar,no,yes
median_age_years vs females_per1000_males,nuts2(n=4),corr=0.24,nuts3(n=8),corr=0.369,magnitude_change,no,no
median_age_years vs young_0_14_per1000,nuts2(n=4),corr=-0.949,nuts3(n=8),corr=-0.97,similar,no,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=4),corr=0.998,nuts3(n=8),corr=0.983,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=4),corr=0.972,nuts3(n=8),corr=0.924,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=4),corr=0.062,nuts3(n=8),corr=-0.183,reversed,no,no
females_per1000_males vs elderly_65plus_per1000,nuts2(n=4),corr=0.222,nuts3(n=8),corr=0.347,magnitude_change,no,no
females_per1000_males vs oldest_80plus_per1000,nuts2(n=4),corr=0.446,nuts3(n=8),corr=0.411,similar,no,no
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=4),corr=-0.946,nuts3(n=8),corr=-0.947,similar,no,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=-0.848,nuts3(n=8),corr=-0.857,similar,no,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=4),corr=0.971,nuts3(n=8),corr=0.972,similar,yes,yes
