variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=26),corr=-0.301,nuts3(n=81),corr=-0.319,similar,no,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=26),corr=0.81,nuts3(n=81),corr=0.779,similar,yes,yes
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=26),corr=-0.636,nuts3(n=81),corr=-0.589,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=26),corr=-0.554,nuts3(n=81),corr=-0.294,magnitude_change,yes,yes
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=26),corr=0.754,nuts3(n=81),corr=0.715,similar,yes,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=26),corr=-0.376,nuts3(n=81),corr=-0.385,similar,no,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=26),corr=-0.285,nuts3(n=81),corr=-0.294,similar,no,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=26),corr=-0.803,nuts3(n=81),corr=-0.843,similar,yes,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=26),corr=0.912,nuts3(n=81),corr=0.929,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=26),corr=0.584,nuts3(n=81),corr=0.486,similar,yes,yes
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=26),corr=-0.853,nuts3(n=81),corr=-0.889,similar,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=26),corr=0.996,nuts3(n=81),corr=0.997,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=26),corr=0.987,nuts3(n=81),corr=0.975,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=26),corr=-0.958,nuts3(n=81),corr=-0.949,similar,yes,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=26),corr=-0.704,nuts3(n=81),corr=-0.488,magnitude_change,yes,yes
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=26),corr=0.995,nuts3(n=81),corr=0.995,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=26),corr=-0.848,nuts3(n=81),corr=-0.878,similar,yes,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=26),corr=-0.785,nuts3(n=81),corr=-0.812,similar,yes,yes
median_age_years vs females_per1000_males,nuts2(n=26),corr=0.72,nuts3(n=81),corr=0.577,similar,yes,yes
median_age_years vs young_0_14_per1000,nuts2(n=26),corr=-0.979,nuts3(n=81),corr=-0.969,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=26),corr=0.941,nuts3(n=81),corr=0.949,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=26),corr=0.889,nuts3(n=81),corr=0.881,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=26),corr=-0.714,nuts3(n=81),corr=-0.504,similar,yes,yes
females_per1000_males vs elderly_65plus_per1000,nuts2(n=26),corr=0.617,nuts3(n=81),corr=0.496,similar,yes,yes
females_per1000_males vs oldest_80plus_per1000,nuts2(n=26),corr=0.587,nuts3(n=81),corr=0.404,magnitude_change,yes,yes
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=26),corr=-0.892,nuts3(n=81),corr=-0.92,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=26),corr=-0.835,nuts3(n=81),corr=-0.86,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=26),corr=0.982,nuts3(n=81),corr=0.971,similar,yes,yes
