variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
total_dependency_ratio_per1000 vs old_age_dependency_ratio_per1000,nuts2(n=19),corr=0.934,nuts3(n=59),corr=0.96,similar,yes,yes
total_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=19),corr=-0.41,nuts3(n=59),corr=-0.259,magnitude_change,no,yes
total_dependency_ratio_per1000 vs median_age_years,nuts2(n=19),corr=0.795,nuts3(n=59),corr=0.84,similar,yes,yes
total_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=19),corr=0.544,nuts3(n=59),corr=0.389,similar,yes,yes
total_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=19),corr=-0.572,nuts3(n=59),corr=-0.526,similar,yes,yes
total_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=19),corr=0.907,nuts3(n=59),corr=0.942,similar,yes,yes
total_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=19),corr=0.907,nuts3(n=59),corr=0.945,similar,yes,yes
old_age_dependency_ratio_per1000 vs youth_dependency_ratio_per1000,nuts2(n=19),corr=-0.708,nuts3(n=59),corr=-0.52,similar,yes,yes
old_age_dependency_ratio_per1000 vs median_age_years,nuts2(n=19),corr=0.955,nuts3(n=59),corr=0.954,similar,yes,yes
old_age_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=19),corr=0.682,nuts3(n=59),corr=0.422,magnitude_change,yes,yes
old_age_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=19),corr=-0.827,nuts3(n=59),corr=-0.744,similar,yes,yes
old_age_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=19),corr=0.997,nuts3(n=59),corr=0.997,similar,yes,yes
old_age_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=19),corr=0.979,nuts3(n=59),corr=0.983,similar,yes,yes
youth_dependency_ratio_per1000 vs median_age_years,nuts2(n=19),corr=-0.868,nuts3(n=59),corr=-0.724,similar,yes,yes
youth_dependency_ratio_per1000 vs females_per1000_males,nuts2(n=19),corr=-0.669,nuts3(n=59),corr=-0.273,magnitude_change,yes,yes
youth_dependency_ratio_per1000 vs young_0_14_per1000,nuts2(n=19),corr=0.982,nuts3(n=59),corr=0.956,similar,yes,yes
youth_dependency_ratio_per1000 vs elderly_65plus_per1000,nuts2(n=19),corr=-0.754,nuts3(n=59),corr=-0.563,similar,yes,yes
youth_dependency_ratio_per1000 vs oldest_80plus_per1000,nuts2(n=19),corr=-0.708,nuts3(n=59),corr=-0.508,similar,yes,yes
median_age_years vs females_per1000_males,nuts2(n=19),corr=0.69,nuts3(n=59),corr=0.403,magnitude_change,yes,yes
median_age_years vs young_0_14_per1000,nuts2(n=19),corr=-0.946,nuts3(n=59),corr=-0.892,similar,yes,yes
median_age_years vs elderly_65plus_per1000,nuts2(n=19),corr=0.974,nuts3(n=59),corr=0.97,similar,yes,yes
median_age_years vs oldest_80plus_per1000,nuts2(n=19),corr=0.946,nuts3(n=59),corr=0.935,similar,yes,yes
females_per1000_males vs young_0_14_per1000,nuts2(n=19),corr=-0.706,nuts3(n=59),corr=-0.354,magnitude_change,yes,yes
females_per1000_males vs elderly_65plus_per1000,nuts2(n=19),corr=0.698,nuts3(n=59),corr=0.431,magnitude_change,yes,yes
females_per1000_males vs oldest_80plus_per1000,nuts2(n=19),corr=0.64,nuts3(n=59),corr=0.354,magnitude_change,yes,yes
young_0_14_per1000 vs elderly_65plus_per1000,nuts2(n=19),corr=-0.864,nuts3(n=59),corr=-0.778,similar,yes,yes
young_0_14_per1000 vs oldest_80plus_per1000,nuts2(n=19),corr=-0.825,nuts3(n=59),corr=-0.729,similar,yes,yes
elderly_65plus_per1000 vs oldest_80plus_per1000,nuts2(n=19),corr=0.981,nuts3(n=59),corr=0.98,similar,yes,yes
