variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
turkey_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=0.556,commune(n=2131),corr=0.621,similar,yes,yes
turkey_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=0.442,commune(n=2131),corr=0.527,similar,yes,yes
turkey_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=0.576,commune(n=2131),corr=0.519,similar,yes,yes
serbia_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=0.6,commune(n=2131),corr=0.597,similar,yes,yes
serbia_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=0.593,commune(n=2131),corr=0.45,similar,yes,yes
north_macedonia_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=0.402,commune(n=2131),corr=0.369,similar,yes,yes
italy_citizens_per1000 vs turkey_citizens_per1000,canton(n=26),corr=0.024,commune(n=2131),corr=0.199,magnitude_change,no,yes
italy_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=0.071,commune(n=2131),corr=0.264,magnitude_change,no,yes
italy_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=-0.03,commune(n=2131),corr=0.138,magnitude_change,no,yes
italy_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=-0.181,commune(n=2131),corr=0.086,reversed,no,yes
germany_citizens_per1000 vs turkey_citizens_per1000,canton(n=26),corr=0.585,commune(n=2131),corr=0.203,magnitude_change,yes,yes
germany_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=0.488,commune(n=2131),corr=0.183,magnitude_change,yes,yes
germany_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=0.691,commune(n=2131),corr=0.221,magnitude_change,yes,yes
germany_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=0.446,commune(n=2131),corr=0.186,magnitude_change,yes,yes
portugal_citizens_per1000 vs turkey_citizens_per1000,canton(n=26),corr=-0.382,commune(n=2131),corr=-0.016,magnitude_change,no,no
portugal_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=-0.487,commune(n=2131),corr=0.023,magnitude_change,yes,no
portugal_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=-0.366,commune(n=2131),corr=0.027,magnitude_change,no,no
portugal_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=-0.503,commune(n=2131),corr=-0.065,magnitude_change,yes,yes
france_citizens_per1000 vs turkey_citizens_per1000,canton(n=26),corr=-0.232,commune(n=2131),corr=-0.15,magnitude_change,no,yes
france_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=-0.464,commune(n=2131),corr=-0.19,magnitude_change,yes,yes
france_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=-0.353,commune(n=2131),corr=-0.18,magnitude_change,no,yes
france_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=-0.483,commune(n=2131),corr=-0.216,magnitude_change,yes,yes
kosovo_citizens_per1000 vs turkey_citizens_per1000,canton(n=26),corr=0.459,commune(n=2131),corr=0.63,magnitude_change,yes,yes
kosovo_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=0.668,commune(n=2131),corr=0.636,similar,yes,yes
kosovo_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=0.558,commune(n=2131),corr=0.54,similar,yes,yes
kosovo_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=0.509,commune(n=2131),corr=0.442,similar,yes,yes
spain_citizens_per1000 vs turkey_citizens_per1000,canton(n=26),corr=0.212,commune(n=2131),corr=0.191,similar,no,yes
spain_citizens_per1000 vs serbia_citizens_per1000,canton(n=26),corr=-0.223,commune(n=2131),corr=0.147,reversed,no,yes
spain_citizens_per1000 vs north_macedonia_citizens_per1000,canton(n=26),corr=-0.173,commune(n=2131),corr=0.096,reversed,no,yes
spain_citizens_per1000 vs sri_lanka_citizens_per1000,canton(n=26),corr=-0.252,commune(n=2131),corr=0.109,reversed,no,yes
