variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
birthplace_uk_per1000 vs birthplace_poland_per1000,county(n=31),corr=-0.443,electoral_division(n=3420),corr=-0.192,magnitude_change,yes,yes
birthplace_uk_per1000 vs birthplace_india_per1000,county(n=31),corr=-0.378,electoral_division(n=3420),corr=-0.177,magnitude_change,yes,yes
birthplace_uk_per1000 vs birthplace_other_eu27_per1000,county(n=31),corr=-0.336,electoral_division(n=3420),corr=-0.108,magnitude_change,no,yes
birthplace_uk_per1000 vs birthplace_rest_of_world_per1000,county(n=31),corr=-0.456,electoral_division(n=3420),corr=-0.169,magnitude_change,yes,yes
birthplace_uk_per1000 vs catholic_per1000,county(n=31),corr=0.424,electoral_division(n=3420),corr=0.057,magnitude_change,yes,yes
birthplace_uk_per1000 vs no_religion_per1000,county(n=31),corr=-0.413,electoral_division(n=3420),corr=-0.012,magnitude_change,yes,no
birthplace_uk_per1000 vs white_irish_traveller_per1000,county(n=31),corr=-0.141,electoral_division(n=3420),corr=-0.091,magnitude_change,no,yes
birthplace_uk_per1000 vs asian_or_asian_irish_per1000,county(n=31),corr=-0.451,electoral_division(n=3420),corr=-0.214,magnitude_change,yes,yes
birthplace_uk_per1000 vs black_or_black_irish_per1000,county(n=31),corr=-0.366,electoral_division(n=3420),corr=-0.198,magnitude_change,yes,yes
birthplace_uk_per1000 vs other_white_per1000,county(n=31),corr=-0.366,electoral_division(n=3420),corr=0.119,reversed,yes,yes
birthplace_uk_per1000 vs irish_speaker_per1000,county(n=31),corr=0.12,electoral_division(n=3420),corr=-0.009,magnitude_change,no,no
birthplace_poland_per1000 vs birthplace_india_per1000,county(n=31),corr=-0.066,electoral_division(n=3420),corr=0.397,reversed,no,yes
birthplace_poland_per1000 vs birthplace_other_eu27_per1000,county(n=31),corr=0.194,electoral_division(n=3420),corr=0.506,magnitude_change,no,yes
birthplace_poland_per1000 vs birthplace_rest_of_world_per1000,county(n=31),corr=0.057,electoral_division(n=3420),corr=0.438,magnitude_change,no,yes
birthplace_poland_per1000 vs catholic_per1000,county(n=31),corr=-0.084,electoral_division(n=3420),corr=-0.382,magnitude_change,no,yes
birthplace_poland_per1000 vs no_religion_per1000,county(n=31),corr=-0.081,electoral_division(n=3420),corr=0.185,reversed,no,yes
birthplace_poland_per1000 vs white_irish_traveller_per1000,county(n=31),corr=0.604,electoral_division(n=3420),corr=0.224,magnitude_change,yes,yes
birthplace_poland_per1000 vs asian_or_asian_irish_per1000,county(n=31),corr=0.003,electoral_division(n=3420),corr=0.461,magnitude_change,no,yes
birthplace_poland_per1000 vs black_or_black_irish_per1000,county(n=31),corr=0.371,electoral_division(n=3420),corr=0.479,similar,yes,yes
birthplace_poland_per1000 vs other_white_per1000,county(n=31),corr=0.446,electoral_division(n=3420),corr=0.612,magnitude_change,yes,yes
birthplace_poland_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.041,electoral_division(n=3420),corr=-0.299,magnitude_change,no,yes
birthplace_india_per1000 vs birthplace_other_eu27_per1000,county(n=31),corr=0.46,electoral_division(n=3420),corr=0.564,similar,yes,yes
birthplace_india_per1000 vs birthplace_rest_of_world_per1000,county(n=31),corr=0.891,electoral_division(n=3420),corr=0.688,similar,yes,yes
birthplace_india_per1000 vs catholic_per1000,county(n=31),corr=-0.844,electoral_division(n=3420),corr=-0.588,magnitude_change,yes,yes
birthplace_india_per1000 vs no_religion_per1000,county(n=31),corr=0.774,electoral_division(n=3420),corr=0.437,magnitude_change,yes,yes
birthplace_india_per1000 vs white_irish_traveller_per1000,county(n=31),corr=-0.098,electoral_division(n=3420),corr=0.083,reversed,no,yes
birthplace_india_per1000 vs asian_or_asian_irish_per1000,county(n=31),corr=0.966,electoral_division(n=3420),corr=0.903,similar,yes,yes
birthplace_india_per1000 vs black_or_black_irish_per1000,county(n=31),corr=0.476,electoral_division(n=3420),corr=0.43,similar,yes,yes
birthplace_india_per1000 vs other_white_per1000,county(n=31),corr=0.431,electoral_division(n=3420),corr=0.476,similar,yes,yes
birthplace_india_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.209,electoral_division(n=3420),corr=-0.298,magnitude_change,no,yes
birthplace_other_eu27_per1000 vs birthplace_rest_of_world_per1000,county(n=31),corr=0.705,electoral_division(n=3420),corr=0.755,similar,yes,yes
birthplace_other_eu27_per1000 vs catholic_per1000,county(n=31),corr=-0.653,electoral_division(n=3420),corr=-0.729,similar,yes,yes
birthplace_other_eu27_per1000 vs no_religion_per1000,county(n=31),corr=0.411,electoral_division(n=3420),corr=0.573,magnitude_change,yes,yes
birthplace_other_eu27_per1000 vs white_irish_traveller_per1000,county(n=31),corr=0.049,electoral_division(n=3420),corr=0.094,magnitude_change,no,yes
birthplace_other_eu27_per1000 vs asian_or_asian_irish_per1000,county(n=31),corr=0.562,electoral_division(n=3420),corr=0.65,similar,yes,yes
birthplace_other_eu27_per1000 vs black_or_black_irish_per1000,county(n=31),corr=0.634,electoral_division(n=3420),corr=0.515,similar,yes,yes
birthplace_other_eu27_per1000 vs other_white_per1000,county(n=31),corr=0.833,electoral_division(n=3420),corr=0.822,similar,yes,yes
birthplace_other_eu27_per1000 vs irish_speaker_per1000,county(n=31),corr=-0.524,electoral_division(n=3420),corr=-0.41,similar,yes,yes
birthplace_rest_of_world_per1000 vs catholic_per1000,county(n=31),corr=-0.938,electoral_division(n=3420),corr=-0.783,similar,yes,yes
