variable,coarse_level,coarse_stat,fine_level,fine_stat,diff_type,coarse_sig,fine_sig
one_person_household_per1000 vs one_parent_family_per1000,county(n=31),corr=0.081,electoral_division(n=3420),corr=0.248,magnitude_change,no,yes
one_person_household_per1000 vs married_couple_with_children_per1000,county(n=31),corr=-0.381,electoral_division(n=3420),corr=-0.635,magnitude_change,yes,yes
one_person_household_per1000 vs cohabiting_couple_with_children_per1000,county(n=31),corr=-0.282,electoral_division(n=3420),corr=0.007,magnitude_change,no,no
one_person_household_per1000 vs owned_outright_per1000,county(n=31),corr=0.541,electoral_division(n=3420),corr=-0.015,magnitude_change,yes,no
one_person_household_per1000 vs owned_with_mortgage_per1000,county(n=31),corr=-0.782,electoral_division(n=3420),corr=-0.694,similar,yes,yes
one_person_household_per1000 vs rented_private_landlord_per1000,county(n=31),corr=0.153,electoral_division(n=3420),corr=0.424,magnitude_change,no,yes
one_person_household_per1000 vs rented_local_authority_per1000,county(n=31),corr=0.049,electoral_division(n=3420),corr=0.285,magnitude_change,no,yes
one_person_household_per1000 vs no_central_heating_per1000,county(n=31),corr=0.61,electoral_division(n=3420),corr=0.273,magnitude_change,yes,yes
one_person_household_per1000 vs oil_heating_per1000,county(n=31),corr=0.409,electoral_division(n=3420),corr=-0.254,reversed,yes,yes
one_person_household_per1000 vs natural_gas_heating_per1000,county(n=31),corr=-0.515,electoral_division(n=3420),corr=0.09,reversed,yes,yes
one_person_household_per1000 vs private_water_source_per1000,county(n=31),corr=0.02,electoral_division(n=3420),corr=-0.302,magnitude_change,no,yes
one_person_household_per1000 vs septic_tank_per1000,county(n=31),corr=0.394,electoral_division(n=3420),corr=-0.281,reversed,yes,yes
one_person_household_per1000 vs at_work_per1000,county(n=31),corr=-0.661,electoral_division(n=3420),corr=-0.416,magnitude_change,yes,yes
one_person_household_per1000 vs unemployed_per1000,county(n=31),corr=0.206,electoral_division(n=3420),corr=0.408,magnitude_change,no,yes
one_person_household_per1000 vs retired_per1000,county(n=31),corr=0.735,electoral_division(n=3420),corr=0.408,magnitude_change,yes,yes
one_person_household_per1000 vs looking_after_home_family_per1000,county(n=31),corr=-0.356,electoral_division(n=3420),corr=-0.137,magnitude_change,yes,yes
one_person_household_per1000 vs unable_to_work_disability_per1000,county(n=31),corr=0.411,electoral_division(n=3420),corr=0.322,similar,yes,yes
one_person_household_per1000 vs professional_workers_per1000,county(n=31),corr=-0.128,electoral_division(n=3420),corr=-0.212,magnitude_change,no,yes
one_person_household_per1000 vs unskilled_workers_per1000,county(n=31),corr=0.293,electoral_division(n=3420),corr=0.265,similar,no,yes
one_person_household_per1000 vs no_formal_education_per1000,county(n=31),corr=0.275,electoral_division(n=3420),corr=0.222,similar,no,yes
one_person_household_per1000 vs upper_secondary_per1000,county(n=31),corr=-0.094,electoral_division(n=3420),corr=-0.103,similar,no,yes
one_person_household_per1000 vs bachelor_or_higher_per1000,county(n=31),corr=-0.188,electoral_division(n=3420),corr=-0.142,similar,no,yes
one_parent_family_per1000 vs married_couple_with_children_per1000,county(n=31),corr=-0.32,electoral_division(n=3420),corr=-0.506,magnitude_change,no,yes
one_parent_family_per1000 vs cohabiting_couple_with_children_per1000,county(n=31),corr=0.477,electoral_division(n=3420),corr=0.335,similar,yes,yes
one_parent_family_per1000 vs owned_outright_per1000,county(n=31),corr=-0.168,electoral_division(n=3420),corr=-0.321,magnitude_change,no,yes
one_parent_family_per1000 vs owned_with_mortgage_per1000,county(n=31),corr=-0.183,electoral_division(n=3420),corr=-0.366,magnitude_change,no,yes
