"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","UK","median_price vs detached_share_pct","county(n=113)","corr=0.113","district(n=318)","corr=-0.26","reversed","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","no","yes"
"","UK","median_price vs semi_share_pct","county(n=113)","corr=-0.421","district(n=318)","corr=-0.605","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","median_price vs terraced_share_pct","county(n=113)","corr=-0.509","district(n=318)","corr=-0.402","similar","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","median_price vs flat_share_pct","county(n=113)","corr=0.662","district(n=318)","corr=0.755","similar","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","median_price vs newbuild_share_pct","county(n=113)","corr=0.104","district(n=318)","corr=-0.022","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","no","no"
"","UK","detached_share_pct vs semi_share_pct","county(n=113)","corr=0.096","district(n=318)","corr=0.362","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","no","yes"
"","UK","detached_share_pct vs terraced_share_pct","county(n=113)","corr=-0.679","district(n=318)","corr=-0.518","similar","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","detached_share_pct vs flat_share_pct","county(n=113)","corr=-0.461","district(n=318)","corr=-0.672","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","detached_share_pct vs newbuild_share_pct","county(n=113)","corr=0.374","district(n=318)","corr=0.39","similar","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","semi_share_pct vs terraced_share_pct","county(n=113)","corr=-0.101","district(n=318)","corr=-0.076","similar","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","no","no"
"","UK","semi_share_pct vs flat_share_pct","county(n=113)","corr=-0.519","district(n=318)","corr=-0.727","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","semi_share_pct vs newbuild_share_pct","county(n=113)","corr=0.297","district(n=318)","corr=0.082","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","no"
"","UK","terraced_share_pct vs flat_share_pct","county(n=113)","corr=-0.189","district(n=318)","corr=-0.146","similar","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","terraced_share_pct vs newbuild_share_pct","county(n=113)","corr=-0.201","district(n=318)","corr=-0.32","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
"","UK","flat_share_pct vs newbuild_share_pct","county(n=113)","corr=-0.258","district(n=318)","corr=-0.134","magnitude_change","UK HM Land Registry Price Paid Data 2024(England and Wales). Median price and property-type shares per area(min 3 transactions). No registration required. Direct county-level aggregation of raw transactions.","yes","yes"
